Status, Date, Location, Opponent, Outcome, Score
Away, 04/04/2019 - Thu, South Tama High School, @South Tama, W, 3-1
Away, 04/08/2019 - Mon, Clear Creek Amana High School, @Clear Creek-Amana, L, 0-1
Away, 04/09/2019 - Tue, H. A. Lynn Stadium, @Newton, L, 0-8
Away, 04/15/2019 - Mon, Dallas Center-Grimes Meadows, @Dallas Center-Grimes, L, 0-8
Home, 04/23/2019 - Tue, Ahrens Park Soccer Fields, Pella Christian, L, 1-8
Away, 04/26/2019 - Fri, Knoxville High School, @Knoxville, L, 0-2
Away, 04/30/2019 - Tue, Indianola Stadium, @Indianola, L, 0-3
Home, 05/02/2019 - Thu, Grinnell Community Senior High School, PCM, T, 0-0
Home, 05/07/2019 - Tue, Grinnell - Ahrens Park, Norwalk, L, 0-7
Away, 05/11/2019 - Sat, Nevada High School, @Nevada, L, 0-5
Home, 05/11/2019 - Sat, Nevada High School, Ballard, L, 1-2
Away, 05/13/2019 - Mon, Goeppinger Field, @Boone, W, 6-0
Home, 05/16/2019 - Thu, Grinnell Ahrens Park, Carlisle, L, 1-5
Away, 05/17/2019 - Fri, Pella High School, @Pella, L, 0-10
Away, 05/29/2019 - Wed, Nevada High School, @Nevada, L, 0-7
