Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Garner-Hayfield-Ventura High School, @Garner-Hayfield-Ventura, L, 0-10
Away, 04/08/2019 - Mon, Lions Field, @Clear Lake, L, 1-11
Away, 04/09/2019 - Tue, Humboldt Soccer Field, @Humboldt, L, 0-5
Home, 04/15/2019 - Mon, Webster City High School, Webster City, L, 0-10
Away, 04/16/2019 - Tue, Aplington-Parkersburg School, @Aplington-Parkersburg, L, 0-11
Away, 04/18/2019 - Thu, Garner-Hayfield-Ventura High School, @Garner-Hayfield-Ventura, L, 0-8
Away, 04/23/2019 - Tue, Gladbrook-Reinbeck Community School, @Gladbrook-Reinbeck, L, 0-14
Away, 04/26/2019 - Fri, Humboldt Soccer Field, @Humboldt, L, 0-10
Home, 04/29/2019 - Mon, Hampton-Dumont High School, Denver, L, 0-13
Away, 05/02/2019 - Thu, Columbus Catholic High School, @Columbus Catholic, L, 0-16
Away, 05/06/2019 - Mon, Faith Baptist Bible College, @Grand View Christian, L, 2-9
Home, 05/09/2019 - Thu, Hampton-Dumont High School, Aplington-Parkersburg, L, 0-10
Home, 05/13/2019 - Mon, Hampton-Dumont High School, Iowa Falls-Alden, L, 0-10
Home, 05/14/2019 - Tue, Hampton-Dumont High School, Grand View Christian, L, 2-4
Away, 05/23/2019 - Thu, Independence High School, @Independence, L, 0-10
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903250327473189cbf3290bec54e
