Status, Date, Location, Opponent, Outcome, Score
Home, 04/08/2019 - Mon, Harlan Community , Kuemper Catholic, L, 1-3
Away, 04/09/2019 - Tue, Tri-Center Community School District, @Tri-Center, L, 1-7
Away, 04/15/2019 - Mon, Greene County High School, @Greene County, W, 8-1
Away, 04/16/2019 - Tue, Missouri Valley High School, @Missouri Valley, W, 9-0
Home, 04/18/2019 - Thu, Omaha, NE, Glenwood, L, 2-6
Away, 04/23/2019 - Tue, Underwood High School, @Underwood, W, 7-2
Home, 04/26/2019 - Fri, Harlan Community , Atlantic, L, 0-4
Home, 04/29/2019 - Mon, Harlan Community , St. Albert, L, 0-7
Away, 04/30/2019 - Tue, Denison High School, @Denison-Schleswig, W, 1-0
Home, 05/04/2019 - Sat, Harlan Community , Riverside, W, 7-0
Away, 05/06/2019 - Mon, Logan Magnolia Community Schools, @Logan-Magnolia, W, 5-0
Away, 05/13/2019 - Mon, Lewis Central High School, @Lewis Central, L, 0-10
Home, 05/20/2019 - Mon, Harlan Community , AHSTW, W, 2-0
Home, 05/22/2019 - Wed, Harlan Community , WCV-NV-AC, W, 3-2
Home, 05/23/2019 - Thu, Harlan Community , Panorama, L, 1-7
Away, 05/24/2019 - Fri, Creston High School, @Creston, W, 3-1
Home, 05/28/2019 - Tue, Treynor Community School, Logan-Magnolia, W, 3-0
Away, 05/31/2019 - Fri, Treynor Community School, @Treynor, L, 0-5
