Status, Date, Location, Opponent, Outcome, Score
Away, 04/04/2019 - Thu, Mediapolis Community School, @Mediapolis, W, 3-0
Home, 04/08/2019 - Mon, 57 8th St  South Park, Keokuk, W, 9-1
Home, 04/11/2019 - Thu, Holy Trinity Catholic Schools, Wapello, W, 11-1
Home, 04/15/2019 - Mon, Holy Trinity Catholic Schools, Burlington Notre Dame, L, 1-2
Away, 04/16/2019 - Tue, Central Lee High School, @Central Lee, W, 10-0
Home, 04/18/2019 - Thu, 57 8th St  South Park, Mount Pleasant, W, 3-1
Home, 04/23/2019 - Tue, 57 8th St  South Park, Columbus, W, 4-0
Away, 04/26/2019 - Fri, 501 S Broadway St, @Pekin High School, L, 0-2
Home, 04/27/2019 - Sat, 501 S Broadway St, Homewood Flossmoor, W, 1-0
Away, 04/27/2019 - Sat, 501 S Broadway St, @Lockport High School, L, 0-4
Away, 04/30/2019 - Tue, Burlington Notre Dame Schools, @Burlington Notre Dame, L, 0-2
Home, 05/02/2019 - Thu, 57 8th St  South Park, Central Lee, W, 8-0
Home, 05/06/2019 - Mon, West Point South Park, TBD, W, 5-1
Away, 05/09/2019 - Thu, Bracewell Stadium, @Burlington, L, 2-3
Home, 05/16/2019 - Thu, 57 8th St  South Park, Fort Madison, W, 7-1
Away, 05/21/2019 - Tue, Keokuk High School, @Keokuk, W, 9-1
Home, 05/28/2019 - Tue, West Point South Park, Mid-Prairie, W, 3-1
Home, 05/31/2019 - Fri, West Point South Park, Pella Christian, L, 0-1
