Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Hudson Athletic Complex, Western Dubuque, W, 3-2
Home, 04/09/2019 - Tue, Hudson Athletic Complex, Columbus Catholic, W, 3-2
Away, 04/16/2019 - Tue, Gladbrook-Reinbeck Community School, @Gladbrook-Reinbeck, L, 0-4
Home, 04/18/2019 - Thu, Hudson Athletic Complex , Union Community, L, 0-6
Away, 04/26/2019 - Fri, Iowa Falls-Alden High School, @Iowa Falls-Alden, W, 6-0
Home, 05/02/2019 - Thu, Hudson Athletic Complex , Iowa City Liberty, W, 5-0
Home, 05/07/2019 - Tue, Hudson Athletic Complex, Denver, L, 0-3
Away, 05/09/2019 - Thu, Martin Sports Complex, @Cedar Valley Christian, W, 5-0
Away, 05/11/2019 - Sat, Waverly Soccer Complex , @Independence, W, 2-0
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Dubuque Senior, L, 1-2
Home, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, Bondurant-Farrar, L, 2-3
Home, 05/16/2019 - Thu, Hudson Athletic Complex , Gladbrook-Reinbeck, L, 1-3
Home, 05/17/2019 - Fri, Hudson Athletic Complex, Aplington-Parkersburg, W, 4-0
Away, 05/22/2019 - Wed, Waverly Soccer Complex, @Waverly-Shell Rock, L, 0-8
Home, 05/29/2019 - Wed, Memorial Stadium, West Delaware, W, 10-0
Home, 05/31/2019 - Fri, Hudson Athletic Complex, Beckman Catholic, L, 0-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124352935d344a791fe345
