Status, Date, Location, Opponent, Outcome, Score
Away, 04/04/2019 - Thu, Fort Dodge Senior High School, @Fort Dodge, W, 3-0
Away, 04/05/2019 - Fri, Storm Lake High School, @Storm Lake, W, 1-0
Home, 04/09/2019 - Tue, Humboldt Soccer Field, Hampton-Dumont/CAL, W, 5-0
Home, 04/15/2019 - Mon, Humboldt Soccer Field, Mason City, L, 0-4
Away, 04/18/2019 - Thu, Aplington-Parkersburg School, @Aplington-Parkersburg, L, 0-4
Away, 04/22/2019 - Mon, Lions Field, @Clear Lake, L, 0-1
Away, 04/25/2019 - Thu, Humboldt Soccer Field, @Garner-Hayfield-Ventura, W, 2-0
Home, 04/26/2019 - Fri, Humboldt Soccer Field, Hampton-Dumont/CAL, W, 10-0
Home, 04/30/2019 - Tue, Humboldt Soccer Field, Webster City, W, 6-0
Home, 05/02/2019 - Thu, Humboldt Soccer Field, Clear Lake, W, 2-1
Home, 05/06/2019 - Mon, Humboldt Soccer Field, Iowa Falls-Alden, L, 1-6
Away, 05/07/2019 - Tue, East Sac County- WL Athletic Complex, @East Sac County, W, 4-0
Home, 05/10/2019 - Fri, Humboldt Soccer Field, Aplington-Parkersburg, L, 0-3
Away, 05/16/2019 - Thu, Garner-Hayfield-Ventura High School, @Garner-Hayfield-Ventura, W, 3-1
Away, 05/17/2019 - Fri, Webster City High School, @Webster City, W, 9-1
Home, 05/20/2019 - Mon, Humboldt Soccer Field, Greene County, W, 5-1
Home, 05/28/2019 - Tue, Humboldt Soccer Field, Garner-Hay.-Ventura, L, 0-1
Away, 05/31/2019 - Fri, Gladbrook-Reinbeck High School, @Iowa Falls-Alden OR GC-GR, Game Cancelled, N/A
