Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Goodenow Field, @Maquoketa, W, 3-0
Home, 04/05/2019 - Fri, Independence JR / SR High School, Vinton-Shellsburg, W, 1-0
Home, 04/08/2019 - Mon, Independence JR / SR High School, Decorah, L, 0-1
Away, 04/09/2019 - Tue, Mount Vernon High School Soccer Field, @Mount Vernon, L, 2-8
Home, 04/11/2019 - Thu, Independence JR / SR High School, South Tama, W, 7-0
Away, 04/16/2019 - Tue, Williamsburg Junior-Senior High School, @Williamsburg, W, 3-0
Home, 04/18/2019 - Thu, Independence JR / SR High School, Central DeWitt, W, 5-1
Away, 04/23/2019 - Tue, Clear Creek Amana High School, @Clear Creek-Amana, W, 2-1
Home, 04/26/2019 - Fri, , Marion, L, 0-1
Home, 04/30/2019 - Tue, Independence JR / SR High School, Benton, W, 1-0
Away, 05/02/2019 - Thu, Beckman Catholic High School, @Beckman Catholic, L, 1-2
Home, 05/10/2019 - Fri, Independence High School, West Delaware, W, 10-0
Home, 05/11/2019 - Sat, , Hudson, L, 0-2
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Union, L, 0-3
Away, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, @Decorah, L, 0-1
Home, 05/14/2019 - Tue, Independence JR / SR High School, Center Point-Urbana, L, 0-4
Home, 05/16/2019 - Thu, Independence JR / SR High School, Solon, W, 2-0
Home, 05/23/2019 - Thu, Independence High School, Hampton-Dumont/CAL, W, 10-0
Away, 05/28/2019 - Tue, Mount Vernon High School Soccer Field, @Mount Vernon, L, 1-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124356104ca0c74af8c041
