Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Indianola Stadium, Des Moines North, W, 7-2
Away, 04/04/2019 - Thu, North Polk High School, @North Polk, L, 2-3
Away, 04/07/2019 - Sun, Nevada High School, @Nevada, L, 0-3
Away, 04/09/2019 - Tue, Pella High School, @Pella, L, 0-10
Home, 04/16/2019 - Tue, Indianola Stadium, Pella Christian, L, 1-2
Away, 04/23/2019 - Tue, Dallas Center-Grimes Meadows, @Dallas Center-Grimes, L, 0-3
Away, 04/25/2019 - Thu, James. W Cownie Soccer Park, @Des Moines Lincoln, L, 1-3
Home, 04/30/2019 - Tue, Indianola Stadium, Grinnell, W, 3-0
Home, 05/02/2019 - Thu, Indianola Stadium, Des Moines East, W, 2-1
Home, 05/04/2019 - Sat, Indianola Stadium, Carlisle, L, 0-3
Away, 05/07/2019 - Tue, Lacey Sports Complex, @Oskaloosa, W, 3-0
Home, 05/10/2019 - Fri, Indianola Stadium, Perry, L, 1-4
Home, 05/13/2019 - Mon, Indianola Stadium, Gilbert, L, 0-8
Away, 05/14/2019 - Tue, H. A. Lynn Stadium, @Newton, L, 0-2
Away, 05/16/2019 - Thu, ADM High School, @ADM, L, 0-4
Home, 05/20/2019 - Mon, Indianola Stadium, Knoxville, L, 0-1
Away, 05/29/2019 - Wed, Dowling Catholic High School, @Dowling Catholic, L, 0-8
