Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Pleasant Valley High School, @Pleasant Valley, L, 0-2
Away, 04/06/2019 - Sat, Union High School, @Union Community, L, 0-1
Neutral, 04/09/2019 - Tue, University of Iowa , Iowa City West, W, 1-0
Home, 04/15/2019 - Mon, Iowa City High, Davenport North, W, 4-0
Away, 04/17/2019 - Wed, Lower Kingston, @Cedar Rapids Jefferson, W, 6-1
Home, 04/23/2019 - Tue, Iowa City High, Iowa City Liberty, W, 4-0
Away, 04/25/2019 - Thu, Cedar Rapids Prairie  High School, @Prairie, W, 2-1
Home, 04/30/2019 - Tue, Iowa City High, Western Dubuque, W, 5-1
Away, 05/03/2019 - Fri, Memorial Stadium, @Waterloo East, W, 2-1
Home, 05/06/2019 - Mon, Iowa City High, Cedar Falls, W, 2-0
Away, 05/10/2019 - Fri, Dubuque Senior High School, @Dubuque Senior, L, 1-3
Home, 05/14/2019 - Tue, Iowa City High, Cedar Rapids Washington, W, 4-0
Home, 05/16/2019 - Thu, Iowa City High, Xavier, L, 0-1
Away, 05/22/2019 - Wed, Linn-Mar High School, @Linn-Mar, L, 0-4
Home, 05/30/2019 - Thu, Iowa City High, Iowa City West, L, 2-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124364115a9fe2cb62954b
