Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Liberty High School, Washington, W, 3-0
Home, 04/04/2019 - Thu, Liberty High School, West Branch, W, 4-1
Away, 04/09/2019 - Tue, Xavier High School, @Xavier, L, 0-7
Away, 04/11/2019 - Thu, Cedar Valley Soccer Complex, @Waterloo East, L, 0-4
Home, 04/16/2019 - Tue, Liberty High School, Dubuque Senior, L, 0-7
Home, 04/18/2019 - Thu, Liberty High School, Mid-Prairie, W, 3-0
Away, 04/22/2019 - Mon, Baxter Sports Complex, @Fort Madison, W, 3-0
Away, 04/23/2019 - Tue, Iowa City High, @Iowa City, City High, L, 0-4
Away, 04/25/2019 - Thu, Lower Kingston, @Cedar Rapids Jefferson, W, 1-0
Home, 04/30/2019 - Tue, Liberty High School, Dubuque Hempstead, L, 0-5
Away, 05/02/2019 - Thu, Hudson Athletic Complex , @Hudson, L, 0-5
Home, 05/07/2019 - Tue, Liberty High School, Linn-Mar, L, 0-4
Away, 05/10/2019 - Fri, Wahlert Catholic High School, @Wahlert Catholic, L, 0-2
Home, 05/14/2019 - Tue, Liberty High School, Cedar Rapids Kennedy, L, 0-4
Home, 05/16/2019 - Thu, Liberty High School, Iowa City West, L, 0-1
Away, 05/20/2019 - Mon, Goodenow Field, @Maquoketa, W, 1-0
Home, 05/23/2019 - Thu, Liberty High School, Keokuk, W, 4-0
Away, 05/29/2019 - Wed, Marion High School, @Marion, L, 1-4
