Status, Date, Location, Opponent, Outcome, Score
Away, 04/05/2019 - Fri, Bettendorf High School, @Bettendorf, L, 1-2
Away, 04/06/2019 - Sat, Bettendorf High School, @TBD, L, 1-3
Neutral, 04/09/2019 - Tue, University of Iowa , Iowa City, City High, L, 0-1
Away, 04/15/2019 - Mon, Kingston Stadium, @Cedar Rapids Washington, L, 0-1
Away, 04/20/2019 - Sat, Waukee Stadium, @Waukee, L, 0-5
Away, 04/20/2019 - Sat, Ankeny High School, @Ankeny, L, 0-6
Home, 04/23/2019 - Tue, West High School, Prairie, L, 0-3
Away, 04/25/2019 - Thu, Coe College, @Cedar Rapids Kennedy, L, 0-1
Home, 04/30/2019 - Tue, West High School, Wahlert Catholic, W, 3-1
Away, 05/03/2019 - Fri, Linn-Mar High School, @Linn-Mar, L, 0-5
Away, 05/09/2019 - Thu, North Scott Senior High School, @North Scott, W, 2-1
Away, 05/10/2019 - Fri, Stephen Hempstead High School, @Dubuque Hempstead, W, 1-0
Home, 05/13/2019 - Mon, West High School, Xavier, L, 0-3
Home, 05/14/2019 - Tue, West High School, Cedar Rapids Jefferson, W, 3-1
Away, 05/16/2019 - Thu, Liberty High School, @Iowa City Liberty, W, 1-0
Home, 05/21/2019 - Tue, West High School, Cedar Falls, W, 4-1
Away, 05/23/2019 - Thu, Ottumwa, Wertheim Memorial field, @Ottumwa, W, 10-0
Away, 05/30/2019 - Thu, Iowa City High, @Iowa City, City High, W, 3-2
Away, 06/03/2019 - Mon, Dowling Catholic High School, @Dowling Catholic, L, 0-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012436290466957af21f848
