Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Iowa Falls-Alden High School, North Polk, L, 0-7
Home, 04/05/2019 - Fri, Iowa Falls-Alden High School, Nevada, L, 0-4
Away, 04/06/2019 - Sat, Goeppinger Field, @Boone, W, 4-0
Home, 04/06/2019 - Sat, Goeppinger Field, Kuemper Catholic, W, 3-2
Home, 04/09/2019 - Tue, Iowa Falls-Alden High School, Mason City, L, 0-1
Home, 04/15/2019 - Mon, Iowa Falls-Alden High School, Garner-Hayfield-Ventura, W, 1-0
Home, 04/22/2019 - Mon, Iowa Falls-Alden High School, Columbus Catholic, L, 1-2
Home, 04/26/2019 - Fri, Iowa Falls-Alden High School, Hudson, L, 0-6
Away, 04/29/2019 - Mon, Webster City High School, @Webster City, W, 11-2
Away, 05/06/2019 - Mon, Humboldt Soccer Field, @Humboldt, W, 6-1
Away, 05/07/2019 - Tue, Aplington-Parkersburg School, @Aplington-Parkersburg, L, 0-3
Home, 05/10/2019 - Fri, Iowa Falls-Alden High School, Webster City, W, 6-1
Away, 05/13/2019 - Mon, Hampton-Dumont High School, @Hampton-Dumont/CAL, W, 10-0
Home, 05/17/2019 - Fri, Iowa Falls-Alden High School, Clear Lake, L, 0-1
Home, 05/23/2019 - Thu, Iowa Falls-Alden High School, Gilbert, L, 0-2
Away, 05/28/2019 - Tue, Gladbrook-Reinbeck High School, @GC-GR, L, 0-3
