Status, Date, Location, Opponent, Outcome, Score
Away, 04/16/2019 - Tue, , @Des Moines Hoover, W, 14-0
Home, 04/19/2019 - Fri, Johnston High School, Valley, L, 0-3
Home, 04/23/2019 - Tue, Johnston High School, Ankeny Centennial, L, 0-1
Away, 04/26/2019 - Fri, Dowling Catholic High School, @Dowling Catholic, L, 0-1
Away, 05/01/2019 - Wed, Urbandale High School, @Urbandale, W, 2-1
Home, 05/07/2019 - Tue, Johnston High School, Ames, W, 3-1
Home, 05/10/2019 - Fri, Johnston High School, Ankeny, L, 1-5
Home, 05/14/2019 - Tue, Johnston High School, Southeast Polk, W, 7-1
Away, 05/17/2019 - Fri, James. W Cownie Soccer Park, @Des Moines Roosevelt, Game Cancelled, N/A
Home, 05/21/2019 - Tue, Johnston High School, Marshalltown, Game Cancelled, N/A
Home, 05/29/2019 - Wed, Johnston High School, Marshalltown, W, 8-0
Away, 06/03/2019 - Mon, C Bluffs Wickersham Athletic Complex, @Council Bluffs Lincoln, L, 1-2
