Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Mediapolis Community School, @Mediapolis, L, 0-3
Home, 04/04/2019 - Thu, Keokuk High School, Washington, L, 1-6
Away, 04/08/2019 - Mon, 57 8th St  South Park, @Holy Trinity Catholic, L, 1-9
Away, 04/09/2019 - Tue, West Liberty High School, @West Liberty, W, 3-0
Home, 04/11/2019 - Thu, Keokuk High School, Mount Pleasant, L, 0-7
Home, 04/16/2019 - Tue, , Canton R-V High School, L, 1-2
Away, 04/18/2019 - Thu, Dexter Soccer Complex, @Fairfield, L, 0-1
Home, 04/22/2019 - Mon, Keokuk High School, Burlington, L, 0-8
Home, 04/25/2019 - Thu, Keokuk High School, Fort Madison, L, 1-2
Away, 04/29/2019 - Mon, East Lake Park, @Mount Pleasant, L, 0-5
Home, 04/30/2019 - Tue, Keokuk High School, Macomb, IL, L, 2-4
Away, 05/02/2019 - Thu, Washington High School, @Washington, L, 2-8
Away, 05/06/2019 - Mon, Central Lee High School, @Central Lee, W, 4-0
Away, 05/10/2019 - Fri, Wellman Rotary Soccer Fields, @Mid-Prairie, L, 3-7
Home, 05/13/2019 - Mon, Keokuk High School, Fairfield, L, 0-9
Home, 05/16/2019 - Thu, Keokuk High School, Burlington Notre Dame, L, 0-4
Away, 05/20/2019 - Mon, Baxter Sports Complex, @Fort Madison, L, 0-2
Home, 05/21/2019 - Tue, Keokuk High School, Holy Trinity Catholic, L, 1-9
Away, 05/23/2019 - Thu, Liberty High School, @Iowa City Liberty, L, 0-4
