Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Carlisle High School, @Carlisle, L, 0-7
Home, 04/05/2019 - Fri, Knoxville High School, PCM, Monroe, W, 3-0
Home, 04/09/2019 - Tue, Knoxville High School, Des Moines Christian, L, 1-4
Home, 04/11/2019 - Thu, Knoxville High School, Nodaway Valley, L, 2-3
Home, 04/12/2019 - Fri, Knoxville High School, Oskaloosa, W, 3-2
Away, 04/15/2019 - Mon, Chariton High School, @Chariton, W, 1-0
Away, 04/16/2019 - Tue, Dexter Soccer Complex, @Fairfield, W, 1-0
Away, 04/23/2019 - Tue, Lakeview Elementary, @Centerville, W, 8-0
Home, 04/26/2019 - Fri, Knoxville High School, Grinnell, W, 2-0
Home, 05/02/2019 - Thu, Knoxville High School, Carlisle, W, 3-1
Away, 05/04/2019 - Sat, Creston High School, @Greene County, W, 5-0
Away, 05/04/2019 - Sat, Creston High School, @Creston, W, 1-0
Away, 05/06/2019 - Mon, Clarke Community Middle/High School, @Clarke, W, 10-0
Home, 05/09/2019 - Thu, Knoxville High School, Centerville, W, 10-0
Home, 05/16/2019 - Thu, Knoxville High School, Chariton, W, 7-1
Away, 05/17/2019 - Fri, Creston High School, @Creston, W, 1-0
Away, 05/20/2019 - Mon, Indianola Stadium, @Indianola, W, 1-0
Away, 05/29/2019 - Wed, Williamsburg High School, @Williamsburg, L, 1-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124373218958445fe5f048
