Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Kuemper Catholic Field House, Atlantic, W, 3-2
Away, 04/06/2019 - Sat, Boone High School, @Webster City, W, 3-0
Away, 04/06/2019 - Sat, Goeppinger Field, @Iowa Falls-Alden, L, 2-3
Away, 04/08/2019 - Mon, Harlan Community , @Harlan, W, 3-1
Away, 04/09/2019 - Tue, Creston High School, @Creston, W, 3-2
Home, 04/15/2019 - Mon, 840 E Anthony St, Lewis Central, L, 0-2
Home, 04/16/2019 - Tue, Carroll Athletic Stadium, East Sac County, W, 4-0
Home, 04/22/2019 - Mon, 840 E Anthony St, Carroll, W, 5-0
Away, 04/26/2019 - Fri, Goeppinger Field, @Boone, W, 7-0
Away, 05/03/2019 - Fri, Tri-Center Community School District, @Tri-Center, W, 2-1
Away, 05/06/2019 - Mon, St. Albert Catholic Schools, @St. Albert, L, 0-1
Away, 05/10/2019 - Fri, West Central Valley High School, @WCV-NV-AC, W, 2-0
Away, 05/13/2019 - Mon, Glenwood Community High School, @Glenwood, L, 0-1
Home, 05/16/2019 - Thu, Carroll Athletic Stadium, Greene County, W, 6-0
Home, 05/17/2019 - Fri, Carroll Athletic Stadium, AHSTW, W, 1-0
Home, 05/20/2019 - Mon, Kuemper Catholic Field House, Logan-Magnolia, T, 0-0
Home, 05/20/2019 - Mon, Carroll Athletic Stadium, Logan-Magnolia, W, 7-0
Away, 05/21/2019 - Tue, Denison High School, @Denison-Schleswig, W, 1-0
Home, 05/28/2019 - Tue, Carroll Athletic Stadium, Greene County, W, 9-0
Away, 05/31/2019 - Fri, Gilbert High School, @Gilbert, L, 1-4
