Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Lewis Central High School, Denison-Schleswig, W, 10-0
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Council Bluffs Jefferson, W, 2-0
Away, 04/08/2019 - Mon, Atlantic High School, @Atlantic, W, 5-0
Away, 04/09/2019 - Tue, Norris Middle School - NE, @Omaha South, W, 1-0
Away, 04/10/2019 - Wed, Norris Middle School - NE, @Mercy, L, 0-1
Away, 04/15/2019 - Mon, 840 E Anthony St, @Kuemper Catholic, W, 2-0
Away, 04/23/2019 - Tue, Creston High School, @Creston, W, 10-0
Away, 04/25/2019 - Thu, Gale Wickersham Athletic Complex, @Council Bluffs Jefferson, W, 2-0
Away, 04/26/2019 - Fri, Gale Wickersham Athletic Complex, @Columbus Scotus, W, 1-0
Home, 04/29/2019 - Mon, Lewis Central High School, Bishop Heelan, L, 0-1
Away, 05/03/2019 - Fri, Gale Wickersham Athletic Complex, @Council Bluffs Lincoln, L, 2-3
Away, 05/07/2019 - Tue, Glenwood Community High School, @Glenwood, W, 2-0
Away, 05/11/2019 - Sat, Pella High School, @Pella, L, 2-3
Home, 05/13/2019 - Mon, Lewis Central High School, Harlan, W, 10-0
Away, 05/17/2019 - Fri, East Middle School, @Sioux City East, W, 3-0
Away, 05/22/2019 - Wed, YMCA Fields, @St. Albert, W, 3-1
Home, 05/28/2019 - Tue, Lewis Central High School, Glenwood, W, 5-1
Home, 06/03/2019 - Mon, Lewis Central High School, Winterset, W, 1-0
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 6, @Waverly-Shell Rock, L, 1-2
