Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, Linn-Mar High School, Cedar Rapids Washington, W, 3-0
Away, 04/06/2019 - Sat, Bettendorf High School, @Ames, W, 3-2
Home, 04/09/2019 - Tue, Linn-Mar High School, Cedar Falls, W, 4-0
Away, 04/12/2019 - Fri, Dubuque Senior High School, @Dubuque, Senior, W, 3-0
Away, 04/16/2019 - Tue, Cedar Rapids Prairie  High School, @Prairie, W, 2-1
Away, 04/18/2019 - Thu, Western Dubuque High School, @Western Dubuque, W, 5-0
Home, 04/23/2019 - Tue, Linn-Mar High School, Xavier, W, 3-0
Away, 04/25/2019 - Thu, Wahlert Catholic High School, @Wahlert Catholic, W, 3-1
Home, 04/26/2019 - Fri, Linn-Mar High School, Pleasant Valley, W, 5-2
Home, 04/30/2019 - Tue, Linn-Mar High School, Cedar Rapids Kennedy, W, 1-0
Home, 05/03/2019 - Fri, Linn-Mar High School, Iowa City West, W, 5-0
Away, 05/07/2019 - Tue, Liberty High School, @Iowa City Liberty, W, 4-0
Away, 05/10/2019 - Fri, Kingston Stadium, @Cedar Rapids Jefferson, W, 7-0
Home, 05/14/2019 - Tue, Linn-Mar High School, Dubuque Hempstead, W, 3-1
Home, 05/17/2019 - Fri, Linn-Mar High School, Davenport Assumption, W, 1-0
Home, 05/18/2019 - Sat, Linn-Mar High School, Valley, L, 0-1
Home, 05/22/2019 - Wed, Linn-Mar High School, Iowa City, City High, W, 4-0
Away, 05/29/2019 - Wed, Linn-Mar High School, @Dubuque Hempstead, W, 2-0
Home, 06/03/2019 - Mon, Linn-Mar Stadium, Muscatine, W, 5-0
Home, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 7, Ankeny, L, 0-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124379639d2b831c92d744
