Status, Date, Location, Opponent, Outcome, Score
Away, 04/05/2019 - Fri, Riverside Community High School, @Riverside, W, 5-4
Away, 04/08/2019 - Mon, Missouri Valley High School, @Missouri Valley, W, 1-0
Away, 04/09/2019 - Tue, Woodrow Wilson Jr High School, @Council Bluffs Jefferson, L, 0-10
Away, 04/16/2019 - Tue, Panorama High School, @Panorama, L, 0-10
Home, 04/18/2019 - Thu, Logan Magnolia Community Schools, Underwood, L, 0-5
Home, 04/22/2019 - Mon, Logan Magnolia Community Schools, Greene County, L, 1-2
Away, 04/26/2019 - Fri, Treynor Community School, @Treynor, L, 0-12
Home, 04/29/2019 - Mon, Logan Magnolia Community Schools, Missouri Valley, L, 0-2
Home, 05/02/2019 - Thu, Logan Magnolia Community Schools, Tri-Center, L, 0-8
Home, 05/06/2019 - Mon, Logan Magnolia Community Schools, Harlan, L, 0-5
Away, 05/10/2019 - Fri, East Sac County- WL Athletic Complex, @East Sac County, W, 3-1
Home, 05/13/2019 - Mon, Logan Magnolia Community Schools, AHSTW, L, 0-8
Home, 05/14/2019 - Tue, Logan Magnolia Community Schools, St. Albert, L, 1-11
Away, 05/20/2019 - Mon, Kuemper Catholic Field House, @Kuemper Catholic, T, 0-0
Away, 05/20/2019 - Mon, Carroll Athletic Stadium, @Kuemper Catholic, L, 0-7
Away, 05/28/2019 - Tue, Treynor Community School, @Harlan, L, 0-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012438138c2894565c9c845
