Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, MOC-Floyd Valley/NWC Soccer Complex, Western Christian, L, 1-6
Away, 04/04/2019 - Thu, Spencer Senior High School, @Spencer, L, 0-10
Home, 04/08/2019 - Mon, MOC-Floyd Valley/NWC Soccer Complex, Sioux Center, W, 3-0
Home, 04/09/2019 - Tue, MOC-Floyd Valley High School, Sergeant Bluff-Luton, L, 2-5
Away, 04/15/2019 - Mon, Unity Christian, Orange City, @Unity Christian, L, 1-3
Away, 04/16/2019 - Tue, Sheldon High School, @Sheldon, W, 9-0
Home, 04/22/2019 - Mon, MOC-Floyd Valley/NWC Soccer Complex, Storm Lake, W, 2-1
Away, 04/23/2019 - Tue, Spirit Lake High School, @Spirit Lake, L, 2-4
Away, 04/25/2019 - Thu, Western Christian High School, @Western Christian, L, 1-2
Home, 04/29/2019 - Mon, MOC-Floyd Valley/NWC Soccer Complex, Spencer, L, 0-10
Away, 05/02/2019 - Thu, Sioux Center Football Field, @Sioux Center, L, 0-1
Away, 05/06/2019 - Mon, West Sioux High School, @West Sioux, W, 3-2
Home, 05/09/2019 - Thu, MOC-Floyd Valley/NWC Soccer Complex, Unity Christian, L, 1-4
Away, 05/13/2019 - Mon, Storm Lake High School, @Storm Lake, W, 5-1
Home, 05/14/2019 - Tue, MOC-Floyd Valley/NWC Soccer Complex, Spirit Lake, W, 3-0
Home, 05/17/2019 - Fri, MOC-Floyd Valley/NWC Soccer Complex, West Sioux, Game Cancelled, N/A
Away, 05/21/2019 - Tue, Riverside Elementary School, @Sioux City West, Game Cancelled, N/A
Away, 05/28/2019 - Tue, Northwestern College Soccer Field, @Unity Christian, L, 2-5
