Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Goodenow Field, Independence, L, 0-3
Away, 04/05/2019 - Fri, Benton Community Middle School High School, @Benton, L, 0-2
Away, 04/09/2019 - Tue, Vinton-Shellsburg High School, @Vinton-Shellsburg, L, 0-2
Home, 04/16/2019 - Tue, Maquoketa High School, West Delaware, W, 7-0
Home, 04/18/2019 - Thu, Goodenow Field, Clear Creek-Amana, L, 0-3
Away, 04/23/2019 - Tue, Solon High School, @Solon, L, 0-2
Home, 04/26/2019 - Fri, Maquoketa High School, Williamsburg, L, 1-3
Away, 04/30/2019 - Tue, Marion High School, @Marion, L, 0-6
Home, 05/02/2019 - Thu, Maquoketa High School, South Tama, W, 2-0
Away, 05/06/2019 - Mon, Clinton High School, @Clinton, L, 1-2
Home, 05/07/2019 - Tue, Goodenow Field, Beckman Catholic, L, 0-3
Away, 05/10/2019 - Fri, Fross Park, Center Point, @Center Point-Urbana, L, 0-3
Home, 05/14/2019 - Tue, Goodenow Field, Central DeWitt, W, 5-1
Home, 05/16/2019 - Thu, Goodenow Field, Mount Vernon, L, 2-5
Home, 05/17/2019 - Fri, Goodenow Field, Monticello, W, 2-0
Home, 05/20/2019 - Mon, Goodenow Field, Iowa City Liberty, L, 0-1
Away, 05/23/2019 - Thu, Wahlert Catholic High School, @Wahlert Catholic, L, 0-6
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012438350ddf8f18ac45f42
