Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Marion High School, Solon, W, 6-0
Home, 04/09/2019 - Tue, Marion High School, Central DeWitt, W, 9-1
Home, 04/16/2019 - Tue, Marion High School, Beckman Catholic, W, 1-0
Home, 04/18/2019 - Thu, Marion High School, Vinton-Shellsburg, W, 3-2
Home, 04/23/2019 - Tue, Marion High School, Benton, W, 5-1
Away, 04/26/2019 - Fri, , @Independence, W, 1-0
Home, 04/29/2019 - Mon, Marion High School, Monticello, W, 14-0
Home, 04/30/2019 - Tue, Marion High School, Maquoketa, W, 6-0
Away, 05/02/2019 - Thu, West Delaware Schools - (Beckman Sports Complex), @West Delaware, W, 10-0
Home, 05/07/2019 - Tue, Marion High School, Williamsburg, W, 2-0
Away, 05/10/2019 - Fri, South Tama High School, @South Tama, W, 10-0
Home, 05/11/2019 - Sat, Marion High School, Center Point-Urbana, L, 0-1
Away, 05/14/2019 - Tue, , @Mount Vernon, W, 5-3
Away, 05/21/2019 - Tue, Clear Creek Amana High School, @Clear Creek-Amana, L, 2-4
Home, 05/29/2019 - Wed, Marion High School, Iowa City Liberty, W, 4-1
Home, 06/03/2019 - Mon, Greater Burlington Area Sports Facilities - TheTurf, Burlington Notre Dame, L, 0-1
