Status, Date, Location, Opponent, Outcome, Score
Away, 03/26/2019 - Tue, Central DeWitt High School, @Central DeWitt, Game Cancelled, N/A
Home, 04/02/2019 - Tue, Felderman Park, Wahlert Catholic, L, 0-8
Away, 04/05/2019 - Fri, Galena High School, @Galena IL, L, 0-2
Home, 04/08/2019 - Mon, Felderman Park, Anamosa, W, 3-2
Home, 04/15/2019 - Mon, Felderman Park, Western Dubuque, L, 1-11
Home, 04/18/2019 - Thu, Felderman Park, West Branch, W, 5-4
Home, 04/22/2019 - Mon, Felderman Park, Clinton, L, 3-4
Home, 04/23/2019 - Tue, Felderman Park, Northeast, W, 4-1
Away, 04/29/2019 - Mon, Downing Field, @Anamosa, W, 4-2
Home, 05/03/2019 - Fri, Felderman Park, Monticello, W, 5-0
Home, 05/06/2019 - Mon, Felderman Park, Galena IL, W, 2-1
Home, 05/10/2019 - Fri, Felderman Park, Cedar Valley Christian, L, 1-2
Away, 05/13/2019 - Mon, Wahlert Catholic High School, @Wahlert Catholic, L, 0-9
Away, 05/15/2019 - Wed, West Branch High School, @West Branch, W, 5-2
Away, 05/16/2019 - Thu, Northeast Community School District, @Northeast, W, 3-2
Home, 05/28/2019 - Tue, Bellevue Felderman Park, Anamosa, W, 1-0
Away, 05/31/2019 - Fri, Liberty High School, @Center Point-Urbana, L, 0-5
