Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, Mason City High School , Webster City, W, 11-1
Away, 04/09/2019 - Tue, Iowa Falls-Alden High School, @Iowa Falls-Alden, W, 1-0
Away, 04/15/2019 - Mon, Humboldt Soccer Field, @Humboldt, W, 4-0
Away, 04/16/2019 - Tue, East High School, @Des Moines East, W, 2-1
Home, 04/18/2019 - Thu, Mason City High School , Clear Lake, W, 1-0
Home, 04/19/2019 - Fri, Mason City High School , Des Moines North, L, 4-5
Home, 04/23/2019 - Tue, Mason City High School , Valley, L, 0-10
Away, 04/26/2019 - Fri, Southeast Polk High School, @Southeast Polk, L, 0-4
Away, 04/29/2019 - Mon, Garner-Hayfield-Ventura Junior High School, @Garner-Hayfield-Ventura, W, 6-1
Home, 04/30/2019 - Tue, Mason City High School , Waukee, L, 0-7
Away, 05/03/2019 - Fri, Des Moines Abraham Lincoln HS, @Des Moines Lincoln, W, 4-0
Away, 05/07/2019 - Tue, Marshalltown High School, @Marshalltown, W, 2-1
Home, 05/10/2019 - Fri, Mason City High School, Fort Dodge, W, 7-0
Away, 05/14/2019 - Tue, Ankeny Centennial High School, @Ankeny Centennial, L, 0-8
Away, 05/16/2019 - Thu, Clear Lake High School, @Clear Lake, L, 0-1
Home, 05/17/2019 - Fri, Mason City High School , Garner-Hayfield-Ventura, W, 4-0
Away, 05/20/2019 - Mon, Ames High School, @Ames, L, 0-8
Away, 05/29/2019 - Wed, Ankeny High School, @Ankeny, L, 0-5
