Status, Date, Location, Opponent, Outcome, Score
Home, 04/09/2019 - Tue, Wellman Rotary Soccer Fields, Washington, L, 0-4
Away, 04/15/2019 - Mon, Dean Nelson Field, @Monticello, W, 6-1
Away, 04/18/2019 - Thu, Liberty High School, @Iowa City Liberty, L, 0-3
Away, 04/20/2019 - Sat, West Liberty High School, @West Liberty, W, 3-1
Home, 04/23/2019 - Tue, Wellman Rotary Soccer Fields, Regina Catholic, L, 0-5
Home, 04/26/2019 - Fri, Wellman Rotary Soccer Fields, West Branch, W, 6-3
Away, 05/03/2019 - Fri, 1208 Colton St, @Columbus, W, 3-2
Away, 05/06/2019 - Mon, WAPELLO JR/SR HIGH SCHOOL, @Wapello, W, 10-0
Away, 05/07/2019 - Tue, Downing Field, @Anamosa, W, 7-3
Home, 05/10/2019 - Fri, Wellman Rotary Soccer Fields, Keokuk, W, 7-3
Home, 05/14/2019 - Tue, Wellman Rotary Soccer Fields, Mediapolis, W, 6-4
Away, 05/17/2019 - Fri, Northeast Community School District, @Northeast, W, 5-3
Home, 05/21/2019 - Tue, Wellman Rotary Soccer Fields, Columbus, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Mid-Prairie High School, Central Lee, W, 7-1
Away, 05/28/2019 - Tue, West Point South Park, @Holy Trinity Catholic, L, 1-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012439461d0314ced72a641
