Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Missouri Valley High School, Underwood, L, 0-4
Home, 04/08/2019 - Mon, Missouri Valley High School, Logan-Magnolia, L, 0-1
Away, 04/09/2019 - Tue, Atlantic High School, @Atlantic, L, 2-5
Home, 04/16/2019 - Tue, Missouri Valley High School, Harlan, L, 0-9
Away, 04/18/2019 - Thu, Riverside Community High School, @Riverside, W, 1-0
Home, 04/22/2019 - Mon, Missouri Valley High School, AHSTW, L, 0-5
Away, 04/26/2019 - Fri, Riverside Elementary School, @Sioux City West, L, 0-7
Away, 04/29/2019 - Mon, Logan Magnolia Community Schools, @Logan-Magnolia, W, 2-0
Away, 05/03/2019 - Fri, Denison High School, @Denison-Schleswig, L, 0-7
Home, 05/10/2019 - Fri, Missouri Valley High School, Tri-Center, L, 0-8
Away, 05/13/2019 - Mon, Gale Wickersham Athletic Complex, @Council Bluffs Jefferson, L, 0-10
Away, 05/14/2019 - Tue, Sergeant Bluff-Luton Senior High School, @Sergeant Bluff-Luton, L, 0-10
Away, 05/28/2019 - Tue, Heelan Catholic Memorial Stadium, @Sergeant Bluff-Luton, L, 0-10
