Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Downing Field, @Anamosa, W, 1-0
Away, 04/02/2019 - Tue, Northeast Community School District, @Northeast, L, 0-7
Home, 04/15/2019 - Mon, Dean Nelson Field, Mid-Prairie, L, 1-6
Home, 04/23/2019 - Tue, Dean Nelson Field, Cedar Valley Christian, L, 1-3
Home, 04/26/2019 - Fri, Dean Nelson Field, Anamosa, L, 0-1
Away, 04/29/2019 - Mon, Marion High School, @Marion, L, 0-14
Away, 05/03/2019 - Fri, Felderman Park, @Marquette Catholic, L, 0-5
Away, 05/09/2019 - Thu, West Liberty High School, @West Liberty, L, 0-2
Home, 05/13/2019 - Mon, Dean Nelson Field, West Delaware, W, 2-1
Away, 05/16/2019 - Thu, Vinton-Shellsburg High School, @Vinton-Shellsburg, L, 0-9
Away, 05/17/2019 - Fri, Goodenow Field, @Maquoketa, L, 0-2
Away, 05/28/2019 - Tue, Beckman Catholic High School, @Beckman Catholic, L, 0-10
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124397733bcde35fc27c4f
