Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, 1208 Colton St, @Columbus, W, 2-1
Home, 04/04/2019 - Thu, East Lake Park, Ottumwa, W, 4-1
Home, 04/08/2019 - Mon, East Lake Park, Fairfield, W, 2-1
Away, 04/11/2019 - Thu, Keokuk High School, @Keokuk, W, 7-0
Home, 04/15/2019 - Mon, East Lake Park, Fort Madison, W, 2-0
Away, 04/18/2019 - Thu, 57 8th St  South Park, @Holy Trinity Catholic, L, 1-3
Away, 04/22/2019 - Mon, Washington High School, @Washington, W, 1-0
Away, 04/25/2019 - Thu, Dexter Soccer Complex, @Fairfield, W, 3-1
Home, 04/29/2019 - Mon, East Lake Park, Keokuk, W, 5-0
Away, 05/07/2019 - Tue, Baxter Sports Complex, @Fort Madison, L, 0-1
Home, 05/09/2019 - Thu, East Lake Park, Washington, L, 1-2
Home, 05/11/2019 - Sat, West Liberty High School, Columbus, W, 1-0
Away, 05/11/2019 - Sat, West Liberty High School, @West Liberty, W, 3-0
Home, 05/13/2019 - Mon, East Lake Park, Burlington Notre Dame, L, 1-2
Home, 05/16/2019 - Thu, East Lake Park, Wapello, W, 10-0
Away, 05/20/2019 - Mon, Mediapolis Community School, @Mediapolis, W, 7-1
Home, 05/23/2019 - Thu, Mount Pleasant High School, Fairfield, W, 2-1
Away, 05/29/2019 - Wed, Pella High School, @Pella, L, 0-10
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012439995d172a4c33a0147
