Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Fross Park, Center Point, @Center Point-Urbana, L, 0-1
Away, 04/06/2019 - Sat, Beckman Catholic High School, @Beckman Catholic, W, 1-0
Home, 04/09/2019 - Tue, Mount Vernon High School Soccer Field, Independence, W, 8-2
Neutral, 04/13/2019 - Sat, Davenport Assumption, Wahlert Catholic, L, 4-6
Away, 04/13/2019 - Sat, Assumption High School, @Davenport Assumption, L, 0-10
Home, 04/16/2019 - Tue, Mount Vernon High School Soccer Field, Vinton-Shellsburg, W, 5-0
Home, 04/18/2019 - Thu, Mount Vernon High School, Williamsburg, W, 10-1
Home, 04/23/2019 - Tue, Mount Vernon High School, West Delaware, W, 10-0
Home, 04/26/2019 - Fri, Solon High School, Solon, W, 4-0
Away, 04/30/2019 - Tue, South Tama High School, @South Tama, W, 9-1
Home, 05/02/2019 - Thu, Mount Vernon High School, Clear Creek-Amana, W, 3-2
Away, 05/06/2019 - Mon, Benton Community Middle School High School, @Benton, W, 4-1
Away, 05/07/2019 - Tue, Central DeWitt High School, @Central DeWitt, W, 10-1
Home, 05/14/2019 - Tue, , Marion, L, 3-5
Away, 05/16/2019 - Thu, Goodenow Field, @Maquoketa, W, 5-2
Home, 05/17/2019 - Fri, Mount Vernon High School, Cedar Valley Christian, Game Cancelled, N/A
Away, 05/21/2019 - Tue, West Liberty High School, @West Liberty, W, 10-0
Home, 05/28/2019 - Tue, Mount Vernon High School Soccer Field, Independence, W, 3-1
Away, 06/03/2019 - Mon, Waverly Soccer Complex, @Waverly-Shell Rock, L, 0-10
