Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Muscatine Soccer Complex, Burlington, W, 6-0
Home, 04/09/2019 - Tue, Muscatine High School, Davenport North, W, 5-0
Home, 04/12/2019 - Fri, Muscatine High School, North Scott, W, 4-3
Away, 04/16/2019 - Tue, West High School, @Davenport West, W, 8-0
Home, 04/23/2019 - Tue, Muscatine Soccer Complex, Bettendorf, L, 1-3
Home, 04/26/2019 - Fri, Burlington Community High School, Springfield High, Game Cancelled, N/A
Away, 04/27/2019 - Sat, Burlington Community High School, @Moline High School, Game Cancelled, N/A
Home, 04/27/2019 - Sat, Burlington Community High School, TBD, Game Cancelled, N/A
Away, 04/29/2019 - Mon, Assumption High School, @Davenport Assumption, L, 0-5
Away, 05/04/2019 - Sat, Muscatine Soccer Complex, @Prairie, L, 0-1
Away, 05/07/2019 - Tue, Clinton High School, @Clinton, W, 6-0
Home, 05/13/2019 - Mon, Muscatine High School, Davenport Central, W, 7-0
Home, 05/17/2019 - Fri, Muscatine Soccer Complex, Regina Catholic, W, 6-1
Away, 05/21/2019 - Tue, Pleasant Valley High School, @Pleasant Valley, L, 0-3
Home, 05/29/2019 - Wed, Muscatine Soccer Complex, Clinton, W, 5-0
Away, 06/03/2019 - Mon, Linn-Mar Stadium, @Linn-Mar, L, 0-5
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012440404ec8c6c16852e44
