Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Bondurant-Farrar High School, @Bondurant-Farrar, L, 2-3
Away, 04/05/2019 - Fri, Iowa Falls-Alden High School, @Iowa Falls-Alden, W, 4-0
Home, 04/07/2019 - Sun, Nevada High School, Indianola, W, 3-0
Home, 04/09/2019 - Tue, SCORE Recreation Athletic Complex, PCM, W, 10-0
Away, 04/15/2019 - Mon, Ballard High School, @Ballard, W, 3-2
Away, 04/19/2019 - Fri, Collins-Maxwell High School, @Collins-Maxwell, W, 3-1
Away, 04/23/2019 - Tue, Grand Junction, @Greene County, W, 10-0
Away, 04/25/2019 - Thu, Pella Soccer Complex, @Pella, L, 1-2
Away, 04/29/2019 - Mon, ADM High School, @ADM, L, 0-5
Away, 04/30/2019 - Tue, Clear Lake High School, @Clear Lake, W, 4-1
Home, 05/04/2019 - Sat, Nevada High School, Regina Catholic, W, 3-0
Home, 05/11/2019 - Sat, Nevada High School, Grinnell, W, 5-0
Home, 05/11/2019 - Sat, Nevada High School, Panorama, W, 3-0
Home, 05/14/2019 - Tue, Nevada High School, North Polk, W, 1-0
Home, 05/20/2019 - Mon, Nevada SCORE Recreation Complex, Gilbert, L, 0-5
Home, 05/29/2019 - Wed, Nevada High School, Grinnell, W, 7-0
Home, 05/31/2019 - Fri, Nevada High School, Williamsburg, W, 3-0
Home, 06/03/2019 - Mon, Nevada High School, Pella Christian, W, 3-1
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 7, @Center Point-Urbana, L, 0-1
