Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, H. A. Lynn Stadium, Ballard, L, 0-2
Home, 04/09/2019 - Tue, H. A. Lynn Stadium, Grinnell, W, 8-0
Home, 04/11/2019 - Thu, H. A. Lynn Stadium, Des Moines Christian, W, 2-0
Home, 04/13/2019 - Sat, H. A. Lynn Stadium, Des Moines Lincoln, L, 1-2
Away, 04/13/2019 - Sat, Newton High School, @Perry, W, 1-0
Home, 04/13/2019 - Sat, H. A. Lynn Stadium, TBD, Game Cancelled, N/A
Home, 04/15/2019 - Mon, H. A. Lynn Stadium, Marshalltown, W, 4-0
Away, 04/16/2019 - Tue, Lacey Sports Complex, @Oskaloosa, L, 1-2
Home, 04/22/2019 - Mon, Newton High School, North Polk, L, 0-2
Home, 04/23/2019 - Tue, H. A. Lynn Stadium, Pella, L, 0-2
Home, 04/26/2019 - Fri, Newton High School, Perry, L, 0-2
Away, 05/03/2019 - Fri, Norwalk High School, @Norwalk, L, 0-2
Away, 05/07/2019 - Tue, Clarke Community Middle/High School, @Clarke, W, 11-0
Home, 05/14/2019 - Tue, H. A. Lynn Stadium, Indianola, W, 2-0
Home, 05/16/2019 - Thu, H. A. Lynn Stadium, Pella Christian, W, 2-1
Away, 05/17/2019 - Fri, Boone High School, @Boone, W, 6-0
Home, 05/23/2019 - Thu, Newton High School, South Tama, W, 6-0
Away, 05/29/2019 - Wed, Dallas Center-Grimes High School, @Dallas Center-Grimes, L, 0-4
Away, 06/03/2019 - Mon, Dallas Center-Grimes High School, @Bondurant-Farrar, Game Cancelled, N/A
