Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, West Central Valley High School, Greene County, W, 4-0
Home, 04/04/2019 - Thu, Nodaway Valley High School, Creston, W, 4-1
Away, 04/08/2019 - Mon, East Sac County- WL Athletic Complex, @East Sac County, W, 11-1
Away, 04/09/2019 - Tue, Treynor Community School, @Treynor, L, 0-8
Away, 04/11/2019 - Thu, Knoxville High School, @Knoxville, W, 3-2
Home, 04/16/2019 - Tue, Nodaway Valley High School, Winterset, L, 0-10
Away, 04/23/2019 - Tue, Tri-Center Community School District, @Tri-Center, L, 0-5
Home, 04/30/2019 - Tue, Nodaway Valley High School, Des Moines Christian, L, 1-4
Away, 05/02/2019 - Thu, Atlantic High School, @Atlantic, W, 3-2
Away, 05/06/2019 - Mon, Carroll Recreation Center, @Carroll, W, 5-0
Home, 05/07/2019 - Tue, West Central Valley High School, Panorama, W, 3-0
Home, 05/10/2019 - Fri, West Central Valley High School, Kuemper Catholic, L, 0-2
Away, 05/16/2019 - Thu, AHSTW Community School District, @AHSTW, W, 3-2
Away, 05/22/2019 - Wed, Harlan Community , @Harlan, L, 2-3
Home, 05/29/2019 - Wed, West Central Valley High School, Clarke, W, 9-0
Away, 05/31/2019 - Fri, Des Moines Christian School, @Des Moines Christian, L, 0-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012440759f21838bb868141
