Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, West High School, @Davenport West, W, 5-0
Neutral, 04/04/2019 - Thu, Clarke University Dubuque, IA, Wahlert Catholic, W, 3-1
Home, 04/06/2019 - Sat, Bettendorf High School, Downers Grove South, L, 2-3
Home, 04/06/2019 - Sat, Bettendorf High School, Cedar Falls, W, 2-1
Home, 04/09/2019 - Tue, North Scott Senior High School, Burlington, W, 3-0
Away, 04/12/2019 - Fri, Muscatine High School, @Muscatine, L, 3-4
Away, 04/13/2019 - Sat, , @Moline High School, W, 1-0
Away, 04/16/2019 - Tue, Clinton High School, @Clinton, W, 1-0
Away, 04/20/2019 - Sat, Xavier High School, @Xavier, L, 1-2
Away, 04/23/2019 - Tue, Assumption High School, @Davenport Assumption, L, 0-6
Home, 04/30/2019 - Tue, North Scott Senior High School, Davenport North, W, 3-0
Home, 05/03/2019 - Fri, North Scott Senior High School, Alleman (Ill.), W, 3-0
Home, 05/07/2019 - Tue, North Scott Senior High School, Bettendorf, L, 0-4
Home, 05/09/2019 - Thu, North Scott Senior High School, Iowa City West, L, 1-2
Away, 05/13/2019 - Mon, Pleasant Valley High School, @Pleasant Valley, L, 0-1
Home, 05/17/2019 - Fri, North Scott Senior High School, Central DeWitt, W, 7-0
Home, 05/21/2019 - Tue, North Scott Senior High School, Davenport Central, W, 4-0
Home, 05/29/2019 - Wed, North Scott High School, Wahlert Catholic, W, 3-1
Away, 06/03/2019 - Mon, Xavier High School, @Xavier, L, 1-4
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019030501244100225727acb9bcf45
