Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Northeast Community School District, Monticello, W, 7-0
Away, 04/12/2019 - Fri, Clinton High School, @Clinton, L, 1-8
Away, 04/23/2019 - Tue, Felderman Park, @Marquette Catholic, L, 1-4
Home, 04/27/2019 - Sat, Northeast Community School District, Cedar Valley Christian, West Liberty, Monticello, Game Cancelled, N/A
Away, 04/29/2019 - Mon, West Liberty High School, @West Liberty, Game Cancelled, N/A
Away, 04/30/2019 - Tue, Downing Field, @Anamosa, L, 1-2
Away, 05/09/2019 - Thu, West High School, @Davenport West, L, 0-2
Away, 05/11/2019 - Sat, West Liberty High School, @West Liberty, L, 1-4
Away, 05/11/2019 - Sat, West Liberty High School, @Columbus, L, 1-2
Away, 05/11/2019 - Sat, West Liberty High School, @TBD, Game Cancelled, N/A
Home, 05/16/2019 - Thu, Northeast Community School District, Marquette Catholic, L, 2-3
Home, 05/17/2019 - Fri, Northeast Community School District, Mid-Prairie, L, 3-5
Home, 05/20/2019 - Mon, Northeast Community School District, Anamosa, L, 3-4
Away, 05/21/2019 - Tue, West Branch High School, @West Branch, Game Cancelled, N/A
Away, 05/21/2019 - Tue, West Branch High School, @West Branch, Game Cancelled, N/A
Away, 05/29/2019 - Wed, Linn-Mar High School, @Center Point-Urbana, L, 0-10
