Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Norwalk High School, Des Moines Roosevelt, W, 1-0
Home, 04/05/2019 - Fri, Norwalk High School, Des Moines Lincoln, W, 5-0
Home, 04/09/2019 - Tue, Norwalk High School, Pella Christian, W, 4-1
Home, 04/13/2019 - Sat, ADM High School, Urbandale, W, 1-0
Home, 04/13/2019 - Sat, ADM High School, Bondurant-Farrar, W, 4-1
Away, 04/16/2019 - Tue, Pella High School, @Pella, L, 1-3
Home, 04/18/2019 - Thu, Norwalk High School, Southeast Polk, W, 2-1
Away, 04/19/2019 - Fri, ADM High School, @ADM, L, 0-1
Home, 04/23/2019 - Tue, Norwalk High School, Oskaloosa, W, 7-0
Away, 04/25/2019 - Thu, North Polk High School, @North Polk, W, 3-1
Home, 04/29/2019 - Mon, Norwalk High School, Winterset, W, 1-0
Home, 05/03/2019 - Fri, Norwalk High School, Newton, W, 2-0
Away, 05/07/2019 - Tue, Grinnell - Ahrens Park, @Grinnell, W, 7-0
Away, 05/10/2019 - Fri, Ames High School, @Ames, L, 0-1
Home, 05/14/2019 - Tue, Norwalk High School, Dallas Center-Grimes, L, 0-3
Home, 05/29/2019 - Wed, Norwalk High School, Oskaloosa, W, 6-0
Away, 06/03/2019 - Mon, Pella High School, @Pella, L, 2-3
