Status, Date, Location, Opponent, Outcome, Score
Home, 04/09/2019 - Tue, Lacey Sports Complex, Dallas Center-Grimes, L, 0-3
Away, 04/11/2019 - Thu, Walsh Soccer Field, @Ottumwa, W, 3-1
Away, 04/12/2019 - Fri, Knoxville High School, @Knoxville, L, 2-3
Home, 04/16/2019 - Tue, Lacey Sports Complex, Newton, W, 2-1
Home, 04/18/2019 - Thu, Lacey Sports Complex, Centerville, W, 5-0
Away, 04/23/2019 - Tue, Norwalk High School, @Norwalk, L, 0-7
Home, 04/26/2019 - Fri, Lacey Sports Complex, North Polk, L, 0-5
Away, 04/30/2019 - Tue, Pella High School, @Pella, L, 0-8
Home, 05/02/2019 - Thu, Lacey Sports Complex, Fairfield, W, 3-2
Away, 05/06/2019 - Mon, Pella Christian High School, @Pella Christian, W, 1-0
Home, 05/07/2019 - Tue, Lacey Sports Complex, Indianola, L, 0-3
Away, 05/09/2019 - Thu, South Tama High School, @South Tama, W, 4-0
Away, 05/16/2019 - Thu, North High School, @Des Moines North, W, 2-1
Home, 05/23/2019 - Thu, Oskaloosa High School, PCM, W, 3-0
Away, 05/29/2019 - Wed, Norwalk High School, @Norwalk, L, 0-6
