Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Pella Christian High School, @Pella Christian, L, 0-6
Away, 04/04/2019 - Thu, East Lake Park, @Mount Pleasant, L, 1-4
Away, 04/06/2019 - Sat, Lakeview Athletic Complex, @Centerville, L, 2-3
Neutral, 04/06/2019 - Sat, Lakeview Athletic Complex, Clarke, W, 10-0
Home, 04/09/2019 - Tue, Dexter Soccer Complex, Fairfield, L, 2-3
Home, 04/11/2019 - Thu, Walsh Soccer Field, Oskaloosa, L, 1-3
Home, 04/16/2019 - Tue, Walsh Soccer Field, Ankeny Centennial, L, 0-12
Home, 04/18/2019 - Thu, Walsh Soccer Field, Burlington, L, 0-7
Home, 04/23/2019 - Tue, Walsh Soccer Field, Des Moines Hoover, W, 3-1
Home, 04/26/2019 - Fri, Walsh Soccer Field, Des Moines North, L, 2-3
Home, 05/03/2019 - Fri, Ottumwa Evans Middle School, Ames, L, 0-13
Home, 05/06/2019 - Mon, Walsh High School, Des Moines Lincoln, L, 2-6
Away, 05/07/2019 - Tue, East High School, @Des Moines East, L, 1-2
Away, 05/10/2019 - Fri, James. W Cownie Soccer Park, @Des Moines Roosevelt, L, 0-10
Away, 05/14/2019 - Tue, Chariton High School, @Chariton, W, 2-0
Away, 05/21/2019 - Tue, Dowling Catholic High School, @Dowling Catholic, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Ottumwa, Wertheim Memorial field, Iowa City West, L, 0-10
