Status, Date, Location, Opponent, Outcome, Score
Away, 04/05/2019 - Fri, Knoxville High School, @Knoxville, L, 0-3
Away, 04/09/2019 - Tue, SCORE Recreation Athletic Complex, @Nevada, L, 0-10
Away, 04/16/2019 - Tue, Des Moines Christian School, @Des Moines Christian, L, 0-3
Away, 04/18/2019 - Thu, Collins-Maxwell High School, @Collins-Maxwell, L, 0-3
Home, 04/23/2019 - Tue, PCM High School, Chariton, W, 3-0
Away, 04/29/2019 - Mon, Greene County High School, @Greene County, W, 4-0
Away, 05/02/2019 - Thu, Grinnell Community Senior High School, @Grinnell, T, 0-0
Home, 05/06/2019 - Mon, Colfax-Mingo High School, Ballard, L, 1-4
Home, 05/14/2019 - Tue, Colfax-Mingo High School, Collins-Maxwell, L, 0-3
Away, 05/16/2019 - Thu, Gilbert High School, @Gilbert, L, 0-1
Home, 05/20/2019 - Mon, Colfax-Mingo High School, Centerville, W, 10-0
Away, 05/23/2019 - Thu, Oskaloosa High School, @Oskaloosa, L, 0-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012441714c8a1c30169c14a
