Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Panorama High School, Des Moines Hoover, W, 5-0
Home, 04/04/2019 - Thu, Panorama High School, East Sac County, W, 10-0
Home, 04/11/2019 - Thu, Panorama High School, Grand View Christian, W, 13-0
Home, 04/16/2019 - Tue, Panorama High School, Logan-Magnolia, W, 10-0
Away, 04/23/2019 - Tue, Ballard High School, @Ballard, W, 1-0
Away, 04/25/2019 - Thu, Treynor Community School, @Treynor, L, 0-3
Home, 04/29/2019 - Mon, Panorama High School, Clarke, W, 10-0
Home, 05/03/2019 - Fri, Panorama High School, Underwood, W, 3-2
Home, 05/06/2019 - Mon, Panorama High School, Des Moines Christian, L, 0-3
Away, 05/07/2019 - Tue, West Central Valley High School, @Nodaway Valley, L, 0-3
Away, 05/11/2019 - Sat, Nevada High School, @Ballard, W, 2-1
Away, 05/11/2019 - Sat, Nevada High School, @Nevada, L, 0-3
Away, 05/13/2019 - Mon, Greene County High School, @Greene County, W, 7-1
Home, 05/17/2019 - Fri, Panorama High School, Collins-Maxwell, L, 1-3
Away, 05/23/2019 - Thu, Harlan Community , @Harlan, W, 7-1
Home, 05/29/2019 - Wed, Panorama High School, Creston, W, 3-2
Away, 05/31/2019 - Fri, North Polk High School, @North Polk, L, 0-4
