Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Des Moines Christian School, @Des Moines Christian, W, 3-2
Home, 04/02/2019 - Tue, Pella Christian High School, Ottumwa, W, 6-0
Home, 04/04/2019 - Thu, Pella Christian High School, Centerville, W, 4-0
Away, 04/09/2019 - Tue, Norwalk High School, @Norwalk, L, 1-4
Home, 04/11/2019 - Thu, Pella Christian High School, North Polk, L, 0-1
Away, 04/16/2019 - Tue, Indianola Stadium, @Indianola, W, 2-1
Home, 04/18/2019 - Thu, Pella Christian High School, Chariton, W, 6-0
Away, 04/23/2019 - Tue, Ahrens Park Soccer Fields, @Grinnell, W, 8-1
Home, 04/29/2019 - Mon, Pella Christian High School, Dallas Center-Grimes, L, 0-2
Home, 05/06/2019 - Mon, Pella Christian High School, Oskaloosa, L, 0-1
Away, 05/11/2019 - Sat, North Polk High School, @North Polk, L, 0-3
Home, 05/11/2019 - Sat, North Polk High School, Collins-Maxwell, W, 2-1
Home, 05/13/2019 - Mon, Pella Christian High School, Ballard, W, 2-1
Away, 05/16/2019 - Thu, H. A. Lynn Stadium, @Newton, L, 1-2
Home, 05/22/2019 - Wed, Pella Christian High School, Pella, L, 0-1
Home, 05/23/2019 - Thu, Pella Christian High School, Des Moines Christian, L, 1-2
Home, 05/29/2019 - Wed, Pella Christian High School, Centerville, W, 10-0
Away, 05/31/2019 - Fri, West Point South Park, @Holy Trinity Catholic, W, 1-0
Away, 06/03/2019 - Mon, Nevada High School, @Nevada, L, 1-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012442063f18ce4df58994d
