Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Pella High School, Marshalltown, W, 9-0
Away, 04/04/2019 - Thu, Bondurant-Farrar High School, @Bondurant-Farrar, W, 3-0
Home, 04/09/2019 - Tue, Pella High School, Indianola, W, 10-0
Home, 04/13/2019 - Sat, ADM High School, Gilbert, L, 1-2
Away, 04/13/2019 - Sat, ADM High School, @Glenwood, W, 3-1
Home, 04/16/2019 - Tue, Pella High School, Norwalk, W, 3-1
Away, 04/23/2019 - Tue, H. A. Lynn Stadium, @Newton, W, 2-0
Home, 04/25/2019 - Thu, Pella Soccer Complex, Nevada, W, 2-1
Home, 04/30/2019 - Tue, Pella High School, Oskaloosa, W, 8-0
Away, 05/07/2019 - Tue, Dallas Center-Grimes Meadows, @Dallas Center-Grimes, L, 1-2
Away, 05/09/2019 - Thu, James. W Cownie Soccer Park, @Des Moines Roosevelt, W, 2-1
Home, 05/11/2019 - Sat, Pella High School, Lewis Central, W, 3-2
Home, 05/16/2019 - Thu, Pella High School, Winterset, W, 1-0
Home, 05/17/2019 - Fri, Pella High School, Grinnell, W, 10-0
Away, 05/22/2019 - Wed, Pella Christian High School, @Pella Christian, W, 1-0
Home, 05/29/2019 - Wed, Pella High School, Mount Pleasant, W, 10-0
Home, 06/03/2019 - Mon, Pella High School, Norwalk, W, 3-2
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 7, @Dallas Center-Grimes, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124419441b6da43a40bb4e
