Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Perry High School, Winterset, L, 0-3
Home, 04/04/2019 - Thu, Perry High School, Carlisle, W, 6-1
Away, 04/05/2019 - Fri, Greene County High School, @Greene County, W, 10-0
Away, 04/09/2019 - Tue, North High School, @Des Moines North, W, 7-0
Home, 04/13/2019 - Sat, Newton High School, Des Moines Lincoln, L, 1-2
Home, 04/13/2019 - Sat, Newton High School, Newton, L, 0-1
Home, 04/16/2019 - Tue, Perry High School, Bondurant-Farrar, L, 2-3
Home, 04/18/2019 - Thu, Perry High School, Boone, W, 9-0
Home, 04/22/2019 - Mon, Perry High School, Des Moines Christian, L, 0-1
Away, 04/26/2019 - Fri, Newton High School, @Newton, W, 2-0
Away, 05/02/2019 - Thu, Gilbert High School, @Gilbert, L, 1-5
Home, 05/07/2019 - Tue, Perry High School, ADM, L, 0-4
Away, 05/09/2019 - Thu, Carroll High School, @Carroll, W, 7-0
Away, 05/10/2019 - Fri, Indianola Stadium, @Indianola, W, 4-1
Away, 05/14/2019 - Tue, Ballard High School, @Ballard, L, 2-5
Away, 05/16/2019 - Thu, North Polk High School, @North Polk, L, 0-1
Home, 05/21/2019 - Tue, Perry High School, Atlantic, Game Cancelled, N/A
Home, 05/29/2019 - Wed, Perry High School, Collins-Maxwell, W, 4-2
Away, 06/03/2019 - Mon, ADM High School, @ADM, L, 0-1
