Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Pleasant Valley High School, Iowa City, City High, W, 2-0
Home, 04/05/2019 - Fri, Bettendorf High School, Downers Grove South, W, 1-0
Neutral, 04/06/2019 - Sat, Bettendorf High School, Ankeny, L, 0-2
Home, 04/09/2019 - Tue, Pleasant Valley High School, Davenport West, W, 10-0
Away, 04/12/2019 - Fri, Bettendorf High School, @Bettendorf, L, 1-2
Home, 04/16/2019 - Tue, Pleasant Valley High School, Burlington, W, 4-0
Away, 04/20/2019 - Sat, , @Moline High School, W, 2-1
Away, 04/23/2019 - Tue, North High School, @Davenport North, W, 8-0
Away, 04/26/2019 - Fri, Linn-Mar High School, @Linn-Mar, L, 2-5
Away, 04/30/2019 - Tue, Brady Street Stadium, @Davenport Central, W, 2-1
Away, 05/06/2019 - Mon, Assumption High School, @Davenport Assumption, L, 1-5
Away, 05/10/2019 - Fri, Clinton High School, @Clinton, W, 5-0
Home, 05/13/2019 - Mon, Pleasant Valley High School, North Scott, W, 1-0
Neutral, 05/18/2019 - Sat, Kingston Stadium, Dowling Catholic, L, 0-1
Home, 05/21/2019 - Tue, Pleasant Valley High School, Muscatine, W, 3-0
Home, 05/29/2019 - Wed, Pleasant Valley High School, Davenport Central, W, 1-0
Away, 06/03/2019 - Mon, Bettendorf High School, @Bettendorf, W, 2-1
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 9, @Waukee, L, 0-2
