Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, Cedar Rapids Prairie  High School, Cedar Rapids Jefferson, W, 8-0
Away, 04/09/2019 - Tue, Coe College, @Cedar Rapids Kennedy, W, 2-1
Home, 04/11/2019 - Thu, Cedar Rapids Prairie  High School, Dubuque Hempstead, W, 1-0
Away, 04/13/2019 - Sat, Xavier High School, @Xavier, W, 3-2
Home, 04/16/2019 - Tue, Cedar Rapids Prairie  High School, Linn-Mar, L, 1-2
Away, 04/18/2019 - Thu, Fross Park, Center Point, @Center Point-Urbana, W, 1-0
Away, 04/23/2019 - Tue, West High School, @Iowa City West, W, 3-0
Home, 04/25/2019 - Thu, Cedar Rapids Prairie  High School, Iowa City, City High, L, 1-2
Away, 04/30/2019 - Tue, Memorial Stadium, @Waterloo East, W, 2-1
Away, 05/03/2019 - Fri, Western Dubuque High School, @Western Dubuque, W, 5-0
Home, 05/04/2019 - Sat, Muscatine Soccer Complex, Muscatine, W, 1-0
Home, 05/07/2019 - Tue, Cedar Rapids Prairie  High School, Dubuque Senior, W, 3-1
Home, 05/10/2019 - Fri, Cedar Rapids Prairie  High School, Cedar Falls, W, 3-0
Home, 05/16/2019 - Thu, Cedar Rapids Prairie  High School, Cedar Rapids Washington, W, 2-0
Away, 05/21/2019 - Tue, Wahlert Catholic High School, @Wahlert Catholic, W, 4-0
Away, 05/29/2019 - Wed, Cedar Rapids Prairie  High School, @Cedar Falls, W, 1-0
Away, 06/03/2019 - Mon, Ankeny High School, @Ankeny, L, 0-4
