Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, Regina, Iowa City High School, Anamosa, W, 6-0
Away, 04/12/2019 - Fri, Burlington Notre Dame Schools, @Burlington Notre Dame, L, 0-2
Away, 04/17/2019 - Wed, Columbus Catholic High School, @Columbus Catholic, L, 0-2
Away, 04/23/2019 - Tue, Wellman Rotary Soccer Fields, @Mid-Prairie, W, 5-0
Home, 04/25/2019 - Thu, Regina, Iowa City High School, Washington, W, 8-1
Home, 04/29/2019 - Mon, Regina, Iowa City High School, Clear Creek-Amana, L, 1-2
Home, 05/03/2019 - Fri, Regina, Iowa City High School, West Branch, W, 4-0
Away, 05/04/2019 - Sat, Nevada High School, @Nevada, L, 0-3
Home, 05/07/2019 - Tue, Regina, Iowa City High School, Cedar Rapids Washington, L, 0-1
Home, 05/11/2019 - Sat, Waverly Soccer Complex, GC-GR, W, 2-1
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Spencer, L, 0-4
Home, 05/11/2019 - Sat, Waverly Soccer Complex, St. Albert, L, 0-3
Away, 05/13/2019 - Mon, Union High School, @Union Community, L, 1-7
Away, 05/15/2019 - Wed, North High School Tennis Courts, @Davenport North, W, 2-1
Away, 05/17/2019 - Fri, Muscatine Soccer Complex, @Muscatine, L, 1-6
Away, 05/21/2019 - Tue, Solon High School, @Solon, L, 1-2
Home, 05/24/2019 - Fri, Iowa City Regina High School, Davenport Assumption, Game Cancelled, N/A
Home, 05/29/2019 - Wed, Liberty High School, West Branch, W, 3-1
Home, 05/31/2019 - Fri, Liberty High School, Solon, W, 3-0
Away, 06/03/2019 - Mon, Assumption High School, @Davenport Assumption, L, 0-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012442564ac297c7b6c6943
