Status, Date, Location, Opponent, Outcome, Score
Home, 04/05/2019 - Fri, Riverside Community High School, Logan-Magnolia, L, 4-5
Away, 04/08/2019 - Mon, AHSTW Community School District, @AHSTW, L, 1-4
Home, 04/16/2019 - Tue, Riverside Community High School, Carroll, L, 0-4
Home, 04/18/2019 - Thu, Riverside Community High School, Missouri Valley, L, 0-1
Home, 04/25/2019 - Thu, Riverside Community High School, AHSTW, L, 0-10
Away, 04/26/2019 - Fri, Tri-Center Community School District, @Tri-Center, L, 0-8
Away, 04/29/2019 - Mon, Underwood High School, @Underwood, L, 0-10
Home, 05/02/2019 - Thu, Riverside Community High School, Creston, L, 0-8
Away, 05/04/2019 - Sat, Harlan Community , @Harlan, L, 0-7
Away, 05/13/2019 - Mon, Atlantic High School, @Atlantic, L, 0-10
Away, 05/28/2019 - Tue, Treynor Community School, @Treynor, L, 0-19
