Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Unity Christian, Orange City, @Unity Christian, L, 2-4
Home, 04/04/2019 - Thu, Sergeant Bluff-Luton Senior High School, TBD, W, 1-0
Home, 04/08/2019 - Mon, Sergeant Bluff-Luton Senior High School, Sioux City West, W, 3-0
Away, 04/09/2019 - Tue, MOC-Floyd Valley High School, @MOC-Floyd Valley, W, 5-2
Home, 04/16/2019 - Tue, Sergeant Bluff-Luton Senior High School, Council Bluffs Lincoln, L, 0-3
Home, 04/17/2019 - Wed, Sergeant Bluff-Luton Senior High School, Bishop Heelan, L, 1-2
Home, 04/23/2019 - Tue, Sergeant Bluff-Luton Senior High School, Sioux City East, L, 1-2
Away, 04/29/2019 - Mon, Gale Wickersham Athletic Complex, @Council Bluffs Jefferson, L, 0-2
Home, 04/30/2019 - Tue, Sergeant Bluff-Luton Senior High School, Western Christian, Game Cancelled, N/A
Away, 05/06/2019 - Mon, Leeds Elementary School, @Sioux City North, W, 3-2
Home, 05/07/2019 - Tue, Sergeant Bluff-Luton Senior High School, Sioux Center, W, 3-0
Away, 05/10/2019 - Fri, West Sioux High School, @West Sioux, W, 8-0
Home, 05/14/2019 - Tue, Sergeant Bluff-Luton Senior High School, Missouri Valley, W, 10-0
Away, 05/16/2019 - Thu, Riverside Elementary School, @Sioux City West, W, 2-1
Away, 05/20/2019 - Mon, East Middle School, @Sioux City East, L, 0-4
Away, 05/23/2019 - Thu, Tri-Center Community School District, @Tri-Center, L, 2-3
Home, 05/28/2019 - Tue, Heelan Catholic Memorial Stadium, Missouri Valley, W, 10-0
Away, 05/31/2019 - Fri, Heelan Catholic Memorial Stadium, @Bishop Heelan, L, 0-7
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124427598138ea8fb66942
