Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Storm Lake High School, @Storm Lake, W, 3-0
Home, 04/02/2019 - Tue, Sioux Center Football Field, West Sioux, W, 1-0
Home, 04/04/2019 - Thu, Sioux Center Football Field, Western Christian, L, 1-3
Away, 04/08/2019 - Mon, MOC-Floyd Valley/NWC Soccer Complex, @MOC-Floyd Valley, L, 0-3
Home, 04/09/2019 - Tue, Sioux Center Football Field, Sheldon, W, 6-1
Away, 04/11/2019 - Thu, Bedell YMCA, @Spirit Lake, W, 1-0
Home, 04/15/2019 - Mon, Sioux Center Football Field, Spencer, L, 0-11
Home, 04/23/2019 - Tue, Sioux Center Football Field, Unity Christian, L, 0-2
Home, 04/25/2019 - Thu, Dordt College - Soccer Complex, Storm Lake, W, 1-0
Away, 04/29/2019 - Mon, Western Christian High School, @Western Christian, L, 0-6
Home, 05/02/2019 - Thu, Sioux Center Football Field, MOC-Floyd Valley, W, 1-0
Home, 05/06/2019 - Mon, Sioux Center Football Field, Spirit Lake, L, 0-1
Away, 05/07/2019 - Tue, Sergeant Bluff-Luton Senior High School, @Sergeant Bluff-Luton, L, 0-3
Home, 05/14/2019 - Tue, Sioux Center Football Field, Sioux City North, L, 0-3
Away, 05/16/2019 - Thu, Unity Christian, Orange City, @Unity Christian, L, 0-9
Away, 05/28/2019 - Tue, Sioux Center Football Field, @Western Christian, L, 0-3
