Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Sioux City East Middle School, Council Bluffs Jefferson, W, 2-0
Neutral, 04/05/2019 - Fri, Gale Wickersham Athletic Complex, Waterloo East, L, 1-3
Home, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Dallas Center-Grimes, L, 0-1
Neutral, 04/06/2019 - Sat, Council Bluffs, IA, Urbandale, W, 2-1
Home, 04/08/2019 - Mon, East Middle School, Unity Christian, W, 1-0
Away, 04/09/2019 - Tue, Heelan Catholic Memorial Stadium, @Bishop Heelan, L, 0-2
Home, 04/16/2019 - Tue, East Middle School, Sioux City North, L, 0-1
Home, 04/18/2019 - Thu, East Middle School, Spencer, L, 0-2
Away, 04/23/2019 - Tue, Sergeant Bluff-Luton Senior High School, @Sergeant Bluff-Luton, W, 2-1
Home, 04/29/2019 - Mon, Sioux City East Middle School, Glenwood, W, 4-0
Away, 04/30/2019 - Tue, Riverside Elementary School, @Sioux City West, W, 8-0
Home, 05/07/2019 - Tue, Sioux City East High School, Bishop Heelan, L, 0-4
Away, 05/10/2019 - Fri, Leeds Elementary School, @Sioux City North, W, 5-0
Home, 05/14/2019 - Tue, East Middle School, Council Bluffs Lincoln, L, 0-1
Home, 05/17/2019 - Fri, East Middle School, Lewis Central, L, 0-3
Home, 05/18/2019 - Sat, Sioux City East High School, Western Christian, Game Cancelled, N/A
Home, 05/20/2019 - Mon, East Middle School, Sergeant Bluff-Luton, W, 4-0
Away, 05/22/2019 - Wed, Western Christian High School, @Western Christian, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Sioux City East High School, Sioux City West, W, 2-0
Away, 05/29/2019 - Wed, C Bluffs Wickersham Athletic Complex, @Council Bluffs Lincoln, L, 1-3
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h2019030501244296080b4bdfeaded4c
