Status, Date, Location, Opponent, Outcome, Score
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Underwood, W, 4-1
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Des Moines East, W, 7-3
Away, 04/09/2019 - Tue, South Sioux City High School, @South Sioux City, W, 2-1
Home, 04/15/2019 - Mon, Leeds Elementary School, Fort Dodge, W, 7-0
Away, 04/16/2019 - Tue, East Middle School, @Sioux City East, W, 1-0
Home, 04/23/2019 - Tue, Leeds Elementary School, Council Bluffs Lincoln, L, 0-3
Home, 04/25/2019 - Thu, Leeds Elementary School, Sioux City West, W, 5-4
Home, 05/01/2019 - Wed, Leeds Elementary School, Council Bluffs Jefferson, L, 0-1
Home, 05/02/2019 - Thu, Leeds Elementary School, Denison-Schleswig, W, 2-0
Away, 05/03/2019 - Fri, Heelan Catholic Memorial Stadium, @Bishop Heelan, L, 0-2
Home, 05/06/2019 - Mon, Leeds Elementary School, Sergeant Bluff-Luton, L, 2-3
Away, 05/07/2019 - Tue, Riverside Elementary School, @Sioux City West, W, 1-0
Home, 05/10/2019 - Fri, Leeds Elementary School, Sioux City East, L, 0-5
Away, 05/14/2019 - Tue, Sioux Center Football Field, @Sioux Center, W, 3-0
Away, 05/16/2019 - Thu, Treynor Community School, @Treynor, L, 0-3
Away, 05/29/2019 - Wed, C Bluffs Wickersham Athletic Complex, @Council Bluffs Jefferson, L, 0-1
