Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Glenwood Community High School, @Glenwood, L, 1-4
Away, 04/05/2019 - Fri, Treynor Community School, @Treynor, L, 1-2
Home, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Tri-Center, L, 0-3
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Urbandale, L, 0-4
Away, 04/08/2019 - Mon, Sergeant Bluff-Luton Senior High School, @Sergeant Bluff-Luton, L, 0-3
Away, 04/12/2019 - Fri, Gale Wickersham Athletic Complex, @Council Bluffs Lincoln, L, 0-3
Away, 04/13/2019 - Sat, South Sioux City High school, @TBD, Game Cancelled, N/A
Home, 04/16/2019 - Tue, Riverside Elementary School, Council Bluffs Jefferson, L, 0-4
Away, 04/23/2019 - Tue, East Sac County- WL Athletic Complex, @East Sac County, W, 8-0
Away, 04/25/2019 - Thu, Leeds Elementary School, @Sioux City North, L, 4-5
Home, 04/26/2019 - Fri, Riverside Elementary School, Missouri Valley, W, 7-0
Away, 04/29/2019 - Mon, Denison High School, @Denison-Schleswig, W, 3-2
Home, 04/30/2019 - Tue, Riverside Elementary School, Sioux City East, L, 0-8
Home, 05/07/2019 - Tue, Riverside Elementary School, Sioux City North, L, 0-1
Away, 05/13/2019 - Mon, Heelan Catholic Memorial Stadium, @Bishop Heelan, L, 0-3
Home, 05/14/2019 - Tue, Riverside Elementary School, Unity Christian, W, 1-0
Home, 05/16/2019 - Thu, Riverside Elementary School, Sergeant Bluff-Luton, L, 1-2
Home, 05/21/2019 - Tue, Riverside Elementary School, MOC-Floyd Valley, Game Cancelled, N/A
Away, 05/23/2019 - Thu, Sioux City East High School, @Sioux City East, L, 0-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124432888bd13213e5ed4a
