Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, West Liberty High School, @West Liberty, W, 5-0
Away, 04/02/2019 - Tue, Marion High School, @Marion, L, 0-6
Home, 04/05/2019 - Fri, Solon High School, South Tama, L, 0-1
Away, 04/11/2019 - Thu, Beckman Catholic High School, @Beckman Catholic, L, 0-6
Home, 04/13/2019 - Sat, Solon High School, West Delaware, W, 4-0
Home, 04/15/2019 - Mon, Solon High School, Benton, L, 0-2
Away, 04/16/2019 - Tue, Central DeWitt High School, @Central DeWitt, W, 1-0
Home, 04/23/2019 - Tue, Solon High School, Maquoketa, W, 2-0
Away, 04/26/2019 - Fri, Solon High School, @Mount Vernon, L, 0-4
Home, 04/30/2019 - Tue, Solon High School, Center Point-Urbana, L, 0-5
Home, 05/02/2019 - Thu, Solon High School, Williamsburg, L, 3-5
Away, 05/09/2019 - Thu, Vinton-Shellsburg High School, @Vinton-Shellsburg, L, 0-1
Home, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, Spencer, L, 0-2
Home, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, GC-GR, L, 0-4
Home, 05/11/2019 - Sat, Waverly-Shell Rock Senior High School, Benton, W, 1-0
Home, 05/14/2019 - Tue, Solon High School, Clear Creek-Amana, L, 0-2
Away, 05/16/2019 - Thu, Independence JR / SR High School, @Independence, L, 0-2
Home, 05/21/2019 - Tue, Solon High School, Iowa City Regina, W, 2-1
Home, 05/30/2019 - Thu, Solon High School, Mediapolis, W, 1-0
Away, 05/31/2019 - Fri, Liberty High School, @Iowa City Regina, L, 0-3
