Status, Date, Location, Opponent, Outcome, Score
Away, 03/30/2019 - Sat, Vinton-Shellsburg High School, @Vinton-Shellsburg, Game Cancelled, N/A
Home, 04/02/2019 - Tue, South Tama High School, Central DeWitt, L, 0-1
Home, 04/04/2019 - Thu, South Tama High School, Grinnell, L, 1-3
Away, 04/05/2019 - Fri, Solon High School, @Solon, W, 1-0
Home, 04/09/2019 - Tue, South Tama High School, Beckman Catholic, L, 0-3
Away, 04/11/2019 - Thu, Independence JR / SR High School, @Independence, L, 0-7
Away, 04/16/2019 - Tue, Benton Community Middle School High School, @Benton, L, 1-4
Home, 04/18/2019 - Thu, South Tama High School, West Delaware, W, 6-0
Away, 04/23/2019 - Tue, Fross Park, Center Point, @Center Point-Urbana, L, 0-7
Away, 04/26/2019 - Fri, Vinton-Shellsburg High School, @Vinton-Shellsburg, L, 1-3
Home, 04/30/2019 - Tue, South Tama High School, Mount Vernon, L, 1-9
Away, 05/02/2019 - Thu, Maquoketa High School, @Maquoketa, L, 0-2
Away, 05/08/2019 - Wed, Clear Creek Amana High School, @Clear Creek-Amana, L, 0-10
Home, 05/09/2019 - Thu, South Tama High School, Oskaloosa, L, 0-4
Home, 05/10/2019 - Fri, South Tama High School, Marion, L, 0-10
Home, 05/14/2019 - Tue, South Tama High School, Williamsburg, L, 1-2
Away, 05/21/2019 - Tue, Union High School, @Union Community, Game Cancelled, N/A
Away, 05/23/2019 - Thu, Newton High School, @Newton, L, 0-6
