Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, East High School, @Des Moines East, W, 9-0
Away, 04/06/2019 - Sat, Thomas Jefferson High School, @Council Bluffs Jefferson, L, 2-3
Neutral, 04/07/2019 - Sun, Thomas Jefferson High School, Columbus Scotus , L, 0-2
Home, 04/11/2019 - Thu, Southeast Polk High School, Dowling Catholic, L, 0-2
Away, 04/16/2019 - Tue, James. W Cownie Soccer Park, @Des Moines Lincoln, W, 5-0
Away, 04/18/2019 - Thu, Norwalk High School, @Norwalk, L, 1-2
Away, 04/23/2019 - Tue, Marshalltown High School, @Marshalltown, W, 9-0
Home, 04/26/2019 - Fri, Southeast Polk High School, Mason City, W, 4-0
Home, 04/30/2019 - Tue, Southeast Polk High School, Fort Dodge, W, 10-0
Away, 05/03/2019 - Fri, James. W Cownie Soccer Park, @Des Moines Roosevelt, W, 4-1
Away, 05/07/2019 - Tue, Waukee Stadium, @Waukee, L, 1-3
Home, 05/10/2019 - Fri, Southeast Polk High School, Valley, L, 0-2
Away, 05/13/2019 - Mon, Urbandale High School, @Urbandale, L, 0-1
Away, 05/14/2019 - Tue, Johnston High School, @Johnston, L, 1-7
Away, 05/20/2019 - Mon, Ankeny Centennial High School, @Ankeny Centennial, L, 0-1
Home, 05/29/2019 - Wed, Southeast Polk High School, Urbandale, W, 1-0
Away, 06/03/2019 - Mon, , @Valley, L, 0-2
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124438382863f116627d4e
