Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Spirit Lake High School, Spencer, L, 0-10
Away, 04/04/2019 - Thu, Spirit Lake High School, @Unity Christian, L, 1-5
Away, 04/08/2019 - Mon, West Sioux High School, @West Sioux, W, 7-0
Home, 04/11/2019 - Thu, Bedell YMCA, Sioux Center, L, 0-1
Away, 04/15/2019 - Mon, Storm Lake High School, @Storm Lake, W, 3-0
Away, 04/18/2019 - Thu, Western Christian High School, @Western Christian, L, 1-5
Home, 04/23/2019 - Tue, Spirit Lake High School, MOC-Floyd Valley, W, 4-2
Away, 04/25/2019 - Thu, Spencer Middle School, @Spencer, L, 0-6
Away, 04/29/2019 - Mon, Unity Christian, Orange City, @Unity Christian, L, 1-5
Home, 05/02/2019 - Thu, Spirit Lake High School, West Sioux, W, 5-2
Away, 05/06/2019 - Mon, Sioux Center Football Field, @Sioux Center, W, 1-0
Home, 05/13/2019 - Mon, Spirit Lake High School, Western Christian, L, 1-5
Away, 05/14/2019 - Tue, MOC-Floyd Valley/NWC Soccer Complex, @MOC-Floyd Valley, L, 0-3
Home, 05/20/2019 - Mon, Spirit Lake High School, Storm Lake, W, 1-0
Home, 05/23/2019 - Thu, Spirit Lake High School, Sheldon, W, 4-0
Away, 05/28/2019 - Tue, Spencer Middle School, @Spencer, L, 0-10
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h201903050124443053588b3ad36f940
