Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Creston High School, @Creston, W, 11-1
Away, 04/04/2019 - Thu, Denison High School, @Denison-Schleswig, W, 8-0
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Winterset, L, 2-3
Away, 04/12/2019 - Fri, Morrison Stadium Creighton Campus, @Tri-Center, W, 2-0
Home, 04/13/2019 - Sat, ADM High School, Bondurant-Farrar, L, 1-7
Home, 04/13/2019 - Sat, ADM High School, Gilbert, L, 3-4
Away, 04/15/2019 - Mon, Heelan Catholic Memorial Stadium, @Bishop Heelan, L, 2-3
Home, 04/23/2019 - Tue, YMCA Fields, Atlantic, W, 9-3
Away, 04/25/2019 - Thu, Glenwood Community High School, @Glenwood, W, 7-2
Away, 04/29/2019 - Mon, Harlan Community , @Harlan, W, 7-0
Home, 05/06/2019 - Mon, St. Albert Catholic Schools, Kuemper Catholic, W, 1-0
Home, 05/07/2019 - Tue, YMCA Fields, Council Bluffs Jefferson, W, 3-0
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Western Dubuque, W, 6-1
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Waverly-Shell Rock, L, 1-5
Away, 05/11/2019 - Sat, Waverly Soccer Complex, @Iowa City Regina, W, 3-0
Away, 05/14/2019 - Tue, Logan Magnolia Community Schools, @Logan-Magnolia, W, 11-1
Home, 05/22/2019 - Wed, YMCA Fields, Lewis Central, L, 1-3
Home, 05/23/2019 - Thu, YMCA Fields, Council Bluffs Lincoln, L, 0-6
Away, 05/29/2019 - Wed, Underwood High School, @Underwood, W, 8-2
Away, 05/31/2019 - Fri, Tri-Center High School, @Tri-Center, W, 3-1
Away, 06/03/2019 - Mon, Treynor Community School, @Treynor, W, 1-0
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 9, @Davenport Assumption, L, 0-10
