Status, Date, Location, Opponent, Outcome, Score
Home, 04/01/2019 - Mon, Storm Lake High School, Sioux Center, L, 0-3
Home, 04/05/2019 - Fri, Storm Lake High School, Humboldt, L, 0-1
Home, 04/09/2019 - Tue, Storm Lake High School, West Sioux, L, 1-2
Home, 04/15/2019 - Mon, Storm Lake High School, Spirit Lake, L, 0-3
Away, 04/22/2019 - Mon, MOC-Floyd Valley/NWC Soccer Complex, @MOC-Floyd Valley, L, 1-2
Home, 04/23/2019 - Tue, Storm Lake High School, Western Christian, L, 0-4
Away, 04/25/2019 - Thu, Dordt College - Soccer Complex, @Sioux Center, L, 0-1
Away, 04/29/2019 - Mon, West Sioux High School, @West Sioux, L, 0-1
Away, 04/30/2019 - Tue, Spencer Middle School, @Spencer, L, 0-10
Home, 05/03/2019 - Fri, Storm Lake High School, Unity Christian, L, 0-4
Home, 05/06/2019 - Mon, Storm Lake High School, Spencer, L, 0-10
Home, 05/13/2019 - Mon, Storm Lake High School, MOC-Floyd Valley, L, 1-5
Away, 05/16/2019 - Thu, Western Christian High School, @Western Christian, L, 0-3
Away, 05/20/2019 - Mon, Spirit Lake High School, @Spirit Lake, L, 0-1
Away, 05/23/2019 - Thu, Carroll High School, @Carroll, L, 0-1
