Status, Date, Location, Opponent, Outcome, Score
Home, 04/02/2019 - Tue, Treynor Community School, Tri-Center, W, 2-1
Home, 04/05/2019 - Fri, Treynor Community School, Sioux City West, W, 2-1
Neutral, 04/06/2019 - Sat, Thomas Jefferson High School, Spencer, L, 2-3
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Bishop Heelan, L, 2-3
Home, 04/09/2019 - Tue, Treynor Community School, Nodaway Valley, W, 8-0
Home, 04/15/2019 - Mon, Atlantic High School, Atlantic, W, 11-1
Home, 04/16/2019 - Tue, Treynor Community School, Underwood, W, 10-0
Home, 04/25/2019 - Thu, Treynor Community School, Panorama, W, 3-0
Home, 04/26/2019 - Fri, Treynor Community School, Logan-Magnolia, W, 12-0
Away, 05/03/2019 - Fri, AHSTW Community School District, @AHSTW, W, 2-1
Away, 05/13/2019 - Mon, Underwood High School, @Underwood, W, 9-0
Home, 05/16/2019 - Thu, Treynor Community School, Sioux City North, W, 3-0
Home, 05/28/2019 - Tue, Treynor Community School, Riverside, W, 19-0
Home, 05/31/2019 - Fri, Treynor Community School, Harlan, W, 5-0
Home, 06/03/2019 - Mon, Treynor Community School, St. Albert, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012444592a18584841ec24a
