Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Treynor Community School, @Treynor, L, 1-2
Home, 04/04/2019 - Thu, Tri-Center Community School District, Atlantic, W, 4-2
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Sioux City West, W, 3-0
Away, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, @Winterset, L, 0-2
Home, 04/09/2019 - Tue, Tri-Center Community School District, Harlan, W, 7-1
Home, 04/12/2019 - Fri, Morrison Stadium Creighton Campus, St. Albert, L, 0-2
Home, 04/16/2019 - Tue, Tri-Center Community School District, AHSTW, W, 6-1
Home, 04/23/2019 - Tue, Tri-Center Community School District, Nodaway Valley, W, 5-0
Home, 04/26/2019 - Fri, Tri-Center Community School District, Riverside, W, 8-0
Away, 05/02/2019 - Thu, Logan Magnolia Community Schools, @Logan-Magnolia, W, 8-0
Home, 05/03/2019 - Fri, Tri-Center Community School District, Kuemper Catholic, L, 1-2
Away, 05/10/2019 - Fri, Missouri Valley High School, @Missouri Valley, W, 8-0
Home, 05/13/2019 - Mon, Tri-Center Community School District, Denison-Schleswig, W, 10-1
Away, 05/14/2019 - Tue, Underwood High School, @Underwood, W, 2-0
Away, 05/20/2019 - Mon, C Bluffs Wickersham Athletic Complex, @Council Bluffs Lincoln, L, 1-2
Away, 05/21/2019 - Tue, Glenwood Community High School, @Glenwood, Game Cancelled, N/A
Home, 05/23/2019 - Thu, Tri-Center Community School District, Sergeant Bluff-Luton, W, 3-2
Home, 05/28/2019 - Tue, Tri-Center High School, AHSTW, W, 2-0
Home, 05/31/2019 - Fri, Tri-Center High School, St. Albert, L, 1-3
