Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, Missouri Valley High School, @Missouri Valley, W, 4-0
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Sioux City North, L, 1-4
Home, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Des Moines East, L, 3-5
Home, 04/08/2019 - Mon, Underwood High School, Council Bluffs Jefferson, L, 0-10
Away, 04/16/2019 - Tue, Treynor Community School, @Treynor, L, 0-10
Away, 04/18/2019 - Thu, Logan Magnolia Community Schools, @Logan-Magnolia, W, 5-0
Home, 04/23/2019 - Tue, Underwood High School, Harlan, L, 2-7
Home, 04/25/2019 - Thu, Underwood High School, Denison-Schleswig, L, 1-6
Home, 04/29/2019 - Mon, Underwood High School, Riverside, W, 10-0
Away, 05/03/2019 - Fri, Panorama High School, @Panorama, L, 2-3
Away, 05/06/2019 - Mon, Gale Wickersham Athletic Complex, @Council Bluffs Lincoln, L, 0-10
Away, 05/10/2019 - Fri, AHSTW Community School District, @AHSTW, L, 1-5
Home, 05/13/2019 - Mon, Underwood High School, Treynor, L, 0-9
Home, 05/14/2019 - Tue, Underwood High School, Tri-Center, L, 0-2
Home, 05/29/2019 - Wed, Underwood High School, St. Albert, L, 2-8
