Status, Date, Location, Opponent, Outcome, Score
Home, 04/04/2019 - Thu, Union High School, Cedar Falls, W, 3-1
Home, 04/06/2019 - Sat, Union High School, Iowa City, City High, W, 1-0
Home, 04/09/2019 - Tue, Union High School, Waverly-Shell Rock, L, 0-3
Away, 04/12/2019 - Fri, Downing Field, @Anamosa, W, 14-0
Away, 04/18/2019 - Thu, Hudson Athletic Complex , @Hudson, W, 6-0
Home, 04/25/2019 - Thu, Union High School, Gladbrook-Reinbeck, W, 6-0
Home, 04/30/2019 - Tue, Union High School, Cedar Rapids Jefferson, W, 7-0
Away, 05/02/2019 - Thu, Decorah High School, @Decorah, W, 5-0
Home, 05/07/2019 - Tue, Union High School, Columbus Catholic, W, 2-1
Home, 05/11/2019 - Sat, Waverly Soccer Complex, Independence, W, 3-0
Home, 05/11/2019 - Sat, Waverly Soccer Complex, Dubuque Senior, W, 3-0
Home, 05/11/2019 - Sat, Waverly Soccer Complex, ADM, L, 2-3
Home, 05/13/2019 - Mon, Union High School, Regina Catholic, W, 7-1
Away, 05/16/2019 - Thu, Clear Creek Amana High School, @Clear Creek-Amana, L, 3-4
Home, 05/21/2019 - Tue, Union High School, South Tama, Game Cancelled, N/A
Home, 05/29/2019 - Wed, Union High School, Benton, W, 10-0
Home, 05/31/2019 - Fri, Union High School, Vinton-Shellsburg, W, 6-1
Home, 06/03/2019 - Mon, Union High School, Columbus Catholic, W, 5-0
Away, 06/06/2019 - Thu, James. W Cownie Soccer Park - Field 8, @Gilbert, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012444900bf1c47a7f35b4a
