Status, Date, Location, Opponent, Outcome, Score
Away, 04/01/2019 - Mon, West Sioux High School, @West Sioux, W, 10-0
Home, 04/02/2019 - Tue, Unity Christian, Orange City, Sergeant Bluff-Luton, W, 4-2
Home, 04/04/2019 - Thu, Spirit Lake High School, Spirit Lake, W, 5-1
Away, 04/08/2019 - Mon, East Middle School, @Sioux City East, L, 0-1
Away, 04/09/2019 - Tue, Western Christian High School, @Western Christian, L, 1-2
Home, 04/15/2019 - Mon, Unity Christian, Orange City, MOC-Floyd Valley, W, 3-1
Away, 04/23/2019 - Tue, Sioux Center Football Field, @Sioux Center, W, 2-0
Home, 04/25/2019 - Thu, Unity Christian, Orange City, West Sioux, W, 5-0
Home, 04/29/2019 - Mon, Unity Christian, Orange City, Spirit Lake, W, 5-1
Away, 04/30/2019 - Tue, Heelan Catholic Memorial Stadium, @Bishop Heelan, L, 0-5
Away, 05/03/2019 - Fri, Storm Lake High School, @Storm Lake, W, 4-0
Home, 05/06/2019 - Mon, Unity Christian, Orange City, Western Christian, W, 2-1
Home, 05/07/2019 - Tue, Unity Christian, Orange City, Sheldon, W, 8-0
Away, 05/09/2019 - Thu, MOC-Floyd Valley/NWC Soccer Complex, @MOC-Floyd Valley, W, 4-1
Home, 05/13/2019 - Mon, Unity Christian, Orange City, Spencer, L, 0-3
Away, 05/14/2019 - Tue, Riverside Elementary School, @Sioux City West, L, 0-1
Home, 05/16/2019 - Thu, Unity Christian, Orange City, Sioux Center, W, 9-0
Home, 05/28/2019 - Tue, Northwestern College Soccer Field, MOC-Floyd Valley, W, 5-2
Home, 05/31/2019 - Fri, Unity Christian High School, Western Christian, W, 1-0
Away, 06/03/2019 - Mon, Heelan Catholic Memorial Stadium, @Bishop Heelan, L, 0-3
