Status, Date, Location, Opponent, Outcome, Score
Away, 04/02/2019 - Tue, Ankeny High School, @Ankeny, L, 0-4
Neutral, 04/06/2019 - Sat, Gale Wickersham Athletic Complex, Sioux City West, W, 4-0
Neutral, 04/06/2019 - Sat, Council Bluffs, IA, Sioux City East, L, 1-2
Away, 04/13/2019 - Sat, ADM High School, @Norwalk, L, 0-1
Away, 04/16/2019 - Tue, Valley Stadium, @Valley, L, 0-3
Home, 04/19/2019 - Fri, Urbandale High School, Des Moines Roosevelt, W, 2-1
Home, 04/22/2019 - Mon, Urbandale High School, Des Moines East, W, 11-1
Home, 04/23/2019 - Tue, Urbandale High School, Ames, L, 1-4
Home, 04/27/2019 - Sat, Urbandale High School, Dallas Center-Grimes, L, 0-1
Home, 05/01/2019 - Wed, Urbandale High School, Johnston, L, 1-2
Away, 05/03/2019 - Fri, Waukee Stadium, @Waukee, L, 0-1
Home, 05/07/2019 - Tue, Urbandale High School, Dowling Catholic, W, 1-0
Home, 05/10/2019 - Fri, Urbandale High School, Ankeny Centennial, L, 0-1
Home, 05/13/2019 - Mon, Urbandale High School, Southeast Polk, W, 1-0
Home, 05/16/2019 - Thu, Urbandale High School, Waverly-Shell Rock, L, 0-1
Away, 05/20/2019 - Mon, Marshalltown High School, @Marshalltown, W, 4-0
Home, 05/21/2019 - Tue, Urbandale High School, Des Moines Hoover, Game Cancelled, N/A
Away, 05/29/2019 - Wed, Southeast Polk High School, @Southeast Polk, L, 0-1
Team Page: http://quikstatsiowa.com/Public/Soccer/TeamRosterSchedule.aspx?IDSport=65E5DA09-90C6-45F5-847A-F9A84FD9C5B0&IDSportSeason=h201903050124242861ca0fcfe178e41&IDTeam=h20190305012445319526d677cd6084f
